"rank","player_name.x","nation","position.x","current_club.x","age","dob","matches_played","starts","minutes","X90s","goals_12","assists_13","goals_assists_14","goals_PK_15","penalty_goals","penalty_attempts","yellow_cards","red_cards","goals_20","assists_21","GA_22","goals_PK_23","goals_assists_minus_PK","matches","season2","goals_against","goals_against_per_90","shots_on_target_against","saves","save_percentage_31","wins","draws","losses","clean_sheets","CS.","penalties_against","penalty_saves","penalty_misses","save_percentage_40","transfermarkt_id.x","transfermarkt_url","fbref_url","player_name.x.x","transfermarkt_id.y","first_tier_debut_date","first_tier_debut_age","first_tier_debut_age.1","first_tier_debut_competition","second_tier_debut_date","second_tier_debut_age","second_tier_debut_age.1","second_tier_debut_competition","debut_age_transfermarket","explanation.x","player_name.y","status","transfermarkt_id.x.x","player_slug","home_name","dob_age.x","current","place_birth.x","height.x","citizenship.x","position.x.x","foot.x","agent","current_club","joined","contract_expires","outfitter","injury_count_total","days_missed_total","games_missed_total","retired","retirement_date","shirt_number","injury_seasons","explanation.y","transfermarkt_id.y.y","player_name.x.x.x","name_home_country","dob_age.y","place_birth.y","height.y","citizenship.y","position.y","foot.y","debut_season","debut_age","first_club","debut_year","explanation","nantional_team","player_name.y.y","matches_national","minutes_national","goals_national","seasons_national","total_matches_club","total_minutes_club","total_goals_club","seasons_club","clubs_club","player_name","deceased","death_date","death_age","total_matches_total","total_minutes_total","total_goals_total","position_clean","position_simple","age_current","retirement_date_clean","retirement_age","career_length"
510,"Fernando Torres","es ESP","FW","Chelsea",27,1984-03-20,32,20,1913,21.3,6,4,10,6,0,0,4,1,0.28,0.19,0.47,0.28,0.47,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7767,"https://www.transfermarkt.com/fernando-torres/profil/spieler/7767","https://fbref.com/en/players/bdf7b97d/Fernando-Torres","Fernando Torres",7767,"1/9/2002","18 years 05 months 12 days","18","LaLiga","27/05/2001","17","17","Segunda División",17,"first scrap players","Fernando Torres","Success",7767,"spieler","Fernando Torres","20/03/1984",41,"Fuenlabrada (Madrid)","1,86 m","Spain","Attack - Centre-Forward","right",NA,"Sagan Tosu","26/08/2019","-","Mizuno",16,342,81,"Yes","26/08/2019",NA,8,"first scrap players transfer",7767,"Fernando Torres",NA,"20-Mar-84",NA,185,"Spain","FW","Right","2001-2002","17 years","Atlético Madrid",2001,"players corrected fbref","Yes","Fernando Torres",66,3887,29,8,691,47406,239,19,5,"Fernando Torres","No","Not found",NA,757,51293,268,"Attack - Centre-Forward","Attack",41,2019-08-26,35,18
510,"Fernando Torres","es ESP","FW","Chelsea",27,1984-03-20,32,20,1913,21.3,6,4,10,6,0,0,4,1,0.28,0.19,0.47,0.28,0.47,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7767,"https://www.transfermarkt.com/fernando-torres/profil/spieler/7767","https://fbref.com/en/players/bdf7b97d/Fernando-Torres","Fernando Torres",7767,"1/9/2002","18 years 05 months 12 days","18","LaLiga","27/05/2001","17","17","Segunda División",17,"first scrap players","Fernando Torres","Success",7767,"spieler","Fernando Torres","20/03/1984",41,"Fuenlabrada (Madrid)","1,86 m","Spain","Attack - Centre-Forward","right",NA,"Sagan Tosu","26/08/2019","-","Mizuno",16,342,81,"Yes","26/08/2019",NA,8,"first scrap players transfer",7767,"Fernando Torres",NA,"20-Mar-84",NA,185,"Spain","FW","Right","2001-2002","17 years","Atlético Madrid",2001,"players corrected fbref","Yes","Fernando Torres",66,3887,29,8,691,47406,239,19,5,"Fernando Torres","No","Not found",NA,757,51293,268,"Attack - Centre-Forward","Attack",41,2019-08-26,35,18
510,"Fernando Torres","es ESP","FW","Chelsea",27,1984-03-20,32,20,1913,21.3,6,4,10,6,0,0,4,1,0.28,0.19,0.47,0.28,0.47,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7767,"https://www.transfermarkt.com/fernando-torres/profil/spieler/7767","https://fbref.com/en/players/bdf7b97d/Fernando-Torres","Fernando Torres",7767,"1/9/2002","18 years 05 months 12 days","18","LaLiga","27/05/2001","17","17","Segunda División",17,"first scrap players","Fernando Torres","Success",7767,"spieler","Fernando Torres","20/03/1984",41,"Fuenlabrada (Madrid)","1,86 m","Spain","Attack - Centre-Forward","right",NA,"Sagan Tosu","26/08/2019","-","Mizuno",16,342,81,"Yes","26/08/2019",NA,8,"first scrap players transfer",7767,"Fernando Torres",NA,"20-Mar-84",NA,185,"Spain","FW","Right","2001-2002","17 years","Atlético Madrid",2001,"players corrected fbref","Yes","Fernando Torres",66,3887,29,8,691,47406,239,19,5,"Fernando Torres","No","Not found",NA,757,51293,268,"Attack - Centre-Forward","Attack",41,2019-08-26,35,18
510,"Fernando Torres","es ESP","FW","Chelsea",27,1984-03-20,32,20,1913,21.3,6,4,10,6,0,0,4,1,0.28,0.19,0.47,0.28,0.47,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7767,"https://www.transfermarkt.com/fernando-torres/profil/spieler/7767","https://fbref.com/en/players/bdf7b97d/Fernando-Torres","Fernando Torres",7767,"1/9/2002","18 years 05 months 12 days","18","LaLiga","27/05/2001","17","17","Segunda División",17,"first scrap players","Fernando Torres","Success",7767,"spieler","Fernando Torres","20/03/1984",41,"Fuenlabrada (Madrid)","1,86 m","Spain","Attack - Centre-Forward","right",NA,"Sagan Tosu","26/08/2019","-","Mizuno",16,342,81,"Yes","26/08/2019",NA,8,"first scrap players transfer",7767,"Fernando Torres",NA,"20-Mar-84",NA,185,"Spain","FW","Right","2001-2002","17 years","Atlético Madrid",2001,"players corrected fbref","Yes","Fernando Torres",66,3887,29,8,691,47406,239,19,5,"Fernando Torres","No","Not found",NA,757,51293,268,"Attack - Centre-Forward","Attack",41,2019-08-26,35,18
510,"Fernando Torres","es ESP","FW","Chelsea",27,1984-03-20,32,20,1913,21.3,6,4,10,6,0,0,4,1,0.28,0.19,0.47,0.28,0.47,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7767,"https://www.transfermarkt.com/fernando-torres/profil/spieler/7767","https://fbref.com/en/players/bdf7b97d/Fernando-Torres","Fernando Torres",7767,"1/9/2002","18 years 05 months 12 days","18","LaLiga","27/05/2001","17","17","Segunda División",17,"first scrap players","Fernando Torres","Success",7767,"spieler","Fernando Torres","20/03/1984",41,"Fuenlabrada (Madrid)","1,86 m","Spain","Attack - Centre-Forward","right",NA,"Sagan Tosu","26/08/2019","-","Mizuno",16,342,81,"Yes","26/08/2019",NA,8,"first scrap players transfer",7767,"Fernando Torres",NA,"20-Mar-84",NA,185,"Spain","FW","Right","2001-2002","17 years","Atlético Madrid",2001,"players corrected fbref","Yes","Fernando Torres",66,3887,29,8,691,47406,239,19,5,"Fernando Torres","No","Not found",NA,757,51293,268,"Attack - Centre-Forward","Attack",41,2019-08-26,35,18
510,"Fernando Torres","es ESP","FW","Chelsea",27,1984-03-20,32,20,1913,21.3,6,4,10,6,0,0,4,1,0.28,0.19,0.47,0.28,0.47,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7767,"https://www.transfermarkt.com/fernando-torres/profil/spieler/7767","https://fbref.com/en/players/bdf7b97d/Fernando-Torres","Fernando Torres",7767,"1/9/2002","18 years 05 months 12 days","18","LaLiga","27/05/2001","17","17","Segunda División",17,"first scrap players","Fernando Torres","Success",7767,"spieler","Fernando Torres","20/03/1984",41,"Fuenlabrada (Madrid)","1,86 m","Spain","Attack - Centre-Forward","right",NA,"Sagan Tosu","26/08/2019","-","Mizuno",16,342,81,"Yes","26/08/2019",NA,8,"first scrap players transfer",7767,"Fernando Torres",NA,"20-Mar-84",NA,185,"Spain","FW","Right","2001-2002","17 years","Atlético Madrid",2001,"players corrected fbref","Yes","Fernando Torres",66,3887,29,8,691,47406,239,19,5,"Fernando Torres","No","Not found",NA,757,51293,268,"Attack - Centre-Forward","Attack",41,2019-08-26,35,18
511,"Kolo Touré","ci CIV","DF","Manchester City",30,1981-03-19,14,8,853,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3202,"https://www.transfermarkt.com/kolo-tour/profil/spieler/3202","https://fbref.com/en/players/3301c9f4/Kolo-Toure","Kolo Touré",3202,"18/08/2002","21 years 04 months 30 days","21","Premier League","No second tier career","No second tier career","No second tier career","No second tier career",21,"first scrap players","Kolo Touré","Success",3202,"spieler","Kolo Touré","19/03/1981",44,"Bouaké","1,78 m","Cote d'Ivoire  England","Defender - Centre-Back","right",NA,"Celtic","10/8/2017","-","New Balance",10,160,30,"Yes","10/8/2017",NA,5,"first scrap players transfer",3202,"Kolo Touré",NA,"19-Mar-81",NA,183,"Côte d'Ivoire","DF (CB)","Right","2002-2003","21 years","Arsenal",2002,"first scrap players fbref","Yes","Kolo Touré",30,2654,1,6,453,35482,14,15,4,"Kolo Touré","No","Not found",NA,483,38136,15,"Defender - Centre-Back","Defender",44,2017-08-10,36,15
512,"Yaya Touré","ci CIV","MF","Manchester City",28,1983-05-13,32,31,2643,29.4,6,6,12,6,0,0,8,0,0.2,0.2,0.41,0.2,0.41,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13091,"https://www.transfermarkt.com/yaya-tour/profil/spieler/13091","https://fbref.com/en/players/c204f844/Yaya-Toure","Yaya Touré",13091,"11/8/2001","18 years 02 months 29 days","18","Jupiler Pro League","6/7/2019","36","36","China League One",18,"first scrap players","Yaya Touré","Success",13091,"spieler","Yaya Touré","13/05/1983",42,"Bouaké","1,88 m","Cote d'Ivoire  England","Midfield - Central Midfield","right",NA,"QD Huanghai","1/1/2020","-",NA,13,147,30,"Yes","1/1/2020",NA,4,"first scrap players transfer",13091,"Yaya Touré",NA,"13-May-83",NA,191,"Côte d'Ivoire","MF (CB-CM)","Right","2003-2004","20 years","Beveren",2003,"first scrap players fbref","Yes","Yaya Touré",37,3262,9,6,498,38916,89,16,6,"Yaya Touré","No","Not found",NA,535,42178,98,"Midfield - Central Midfield","Midfield",42,2020-01-01,36,18
513,"Armand Traoré","sn SEN","DF,MF","Arsenal",21,1989-10-08,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33783,"https://www.transfermarkt.com/armand-traor/profil/spieler/33783","https://fbref.com/en/players/021ea92d/Armand-Traore","Armand Traoré",33783,"5/4/2008","18 years 05 months 28 days","18","Premier League","3/8/2013","23","23","Championship",18,"first scrap players","Armand Traoré","Success",33783,"spieler","Armand Traoré","8/10/1989",36,"Paris","1,84 m","Senegal  France","Defender - Left-Back","left",NA,"Cardiff","7/1/2020","-",NA,9,271,50,"Yes","7/1/2020",NA,4,"first scrap players transfer",33783,"Armand Traoré",NA,"8-Oct-89",NA,184,"Senegal sn  Other: France","DF-MF (FB-WM, left)","Left","2007-2008","17 years","Arsenal",2007,"first scrap players fbref","Yes","Armand Traoré",2,98,0,3,176,11964,4,11,7,"Armand Traoré","No","Not found",NA,178,12062,4,"Defender - Left-Back","Defender",36,2020-01-07,30,12
514,"Armand Traoré","sn SEN","DF,MF","QPR",21,1989-10-08,23,18,1613,17.9,0,3,3,0,0,0,3,1,0,0.17,0.17,0,0.17,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33783,"https://www.transfermarkt.com/armand-traor/profil/spieler/33783","https://fbref.com/en/players/021ea92d/Armand-Traore","Armand Traoré",33783,"5/4/2008","18 years 05 months 28 days","18","Premier League","3/8/2013","23","23","Championship",18,"first scrap players","Armand Traoré","Success",33783,"spieler","Armand Traoré","8/10/1989",36,"Paris","1,84 m","Senegal  France","Defender - Left-Back","left",NA,"Cardiff","7/1/2020","-",NA,9,271,50,"Yes","7/1/2020",NA,4,"first scrap players transfer",33783,"Armand Traoré",NA,"8-Oct-89",NA,184,"Senegal sn  Other: France","DF-MF (FB-WM, left)","Left","2007-2008","17 years","Arsenal",2007,"first scrap players fbref","Yes","Armand Traoré",2,98,0,3,176,11964,4,11,7,"Armand Traoré","No","Not found",NA,178,12062,4,"Defender - Left-Back","Defender",36,2020-01-07,30,12
515,"Gerhard Tremmel","de GER","GK","Swansea City",32,1978-11-16,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,"https://www.transfermarkt.com/gerhard-tremmel/profil/spieler/488","https://fbref.com/en/players/4370cecc/Gerhard-Tremmel","Gerhard Tremmel",488,"7/4/2000","21 years 04 months 22 days","21","1.Bundesliga","29/07/2001","22","22","2.Bundesliga",21,"first scrap players","Gerhard Tremmel","Success",488,"spieler","Gerhard Tremmel","16/11/1978",47,"München","N/A","Germany","Goalkeeper","N/A",NA,"Swansea","17/07/2017","-",NA,0,0,0,"Yes","17/07/2017",NA,0,"first scrap players transfer",488,"Gerhard Tremmel",NA,"16-Nov-78",NA,190,NA,"GK","Right","1999-2000","20 years","Unterhaching",1999,"first scrap players fbref","No",NA,NA,NA,NA,NA,229,20357,0,14,6,"Gerhard Tremmel","No","Not found",NA,229,20357,0,"Goalkeeper","Goalkeeper",47,2017-07-17,38,17
516,"Marcello Trotta","it ITA","FW","Fulham",18,1992-09-29,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129505,"https://www.transfermarkt.com/marcello-trotta/profil/spieler/129505","https://fbref.com/en/players/acdad0aa/Marcello-Trotta","Marcello Trotta",129505,"7/4/2012","19 years 06 months 09 days","19","Premier League","25/02/2012","19","19","Championship",19,"first scrap players","Marcello Trotta","Success",129505,"spieler","Marcello Trotta","29/09/1992",33,"Santa Maria Capua Vetere","1,88 m","Italy","Attack - Centre-Forward","left",NA,"Sora","7/8/2025","30/06/2026","Nike",8,306,24,"No",NA,29,7,"first scrap players transfer",129505,"Marcello Trotta",NA,"September 29, 1992 (Age: 33-057d)","Santa Maria Capua Vetere, Italy",188,"Italy","FW","Left","2011-2012","18 years","Wycombe",2011,"first scrap players fbref","No",NA,NA,NA,NA,NA,254,15075,65,10,12,"Marcello Trotta","No","Not found",NA,254,15075,65,"Attack - Centre-Forward","Attack",33,NA,NA,14
517,"Ross Turnbull","eng ENG","GK","Chelsea",26,1985-01-04,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29159,"https://www.transfermarkt.com/ross-turnbull/profil/spieler/29159","https://fbref.com/en/players/6db380ef/Ross-Turnbull","Ross Turnbull",29159,"3/5/2006","21 years 03 months 29 days","21","Premier League","27/08/2005","20","20","Championship",20,"first scrap players","Ross Turnbull","Success",29159,"spieler","Ross Turnbull","4/1/1985",40,"Bishop Auckland","1,93 m","England","Goalkeeper","right",NA,"Leeds","1/7/2017","-",NA,0,0,0,"Yes","1/7/2017",NA,0,"first scrap players transfer",29159,"Ross Turnbull",NA,"4-Jan-85",NA,193,"England eng","GK","Right","2003-2004","18 years","Darlington",2003,"first scrap players fbref","No",NA,NA,NA,NA,NA,156,13917,0,12,9,"Ross Turnbull","No","Not found",NA,156,13917,0,"Goalkeeper","Goalkeeper",40,2017-07-01,32,12
518,"Michael Turner","eng ENG","DF","Sunderland",27,1983-11-09,24,23,2116,23.5,0,0,0,0,0,0,3,0,0,0,0,0,0,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12127,"https://www.transfermarkt.com/michael-turner/profil/spieler/12127","https://fbref.com/en/players/422a65eb/Michael-Turner","Michael Turner",12127,"16/08/2008","24 years 09 months 07 days","24","Premier League","5/8/2006","22","22","Championship",22,"first scrap players","Michael Turner","Success",12127,"spieler","Michael Turner","9/11/1983",42,"London","1,93 m","England","Defender - Centre-Back","right",NA,"Southend United","1/1/2020","-",NA,3,221,36,"Yes","1/1/2020",NA,3,"first scrap players transfer",12127,"Michael Turner",NA,"9-Nov-83",NA,193,NA,"DF (CB)","Right","2002-2003","18 years","Leyton Orient",2002,"first scrap players fbref","No",NA,NA,NA,NA,NA,453,39692,28,16,8,"Michael Turner","No","Not found",NA,453,39692,28,"Defender - Centre-Back","Defender",42,2020-01-01,36,14
519,"Matt Upson","eng ENG","DF","Stoke City",32,1979-04-18,14,10,1023,11.4,1,0,1,1,0,0,1,0,0.09,0,0.09,0.09,0.09,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3273,"https://www.transfermarkt.com/matthew-upson/profil/spieler/3273","https://fbref.com/en/players/1a6e6d03/Matt-Upson","Matt Upson",3273,"17/01/1998","18 years 08 months 30 days","18","Premier League","9/12/2000","21 years 07 months 21 days","21","",18,"players corrected","Matt Upson","Success",3273,"spieler","Matthew Upson","18/04/1979",46,"Hartismere","1,85 m","England","Defender - Centre-Back","left",NA,"MK Dons","1/7/2016","-",NA,3,194,42,"Yes","1/7/2016",NA,3,"players corrected transfer

",3273,"Matt Upson",NA,"18-Apr-79",NA,185,"England eng","DF (CB)","Left","1997-1998","18 years","Arsenal",1997,"first scrap players fbref","Yes","Matt Upson",7,542,1,2,396,32633,14,19,8,"Matt Upson","No","Not found",NA,403,33175,15,"Defender - Centre-Back","Defender",46,2016-07-01,37,19
520,"Antonio Valencia","ec ECU","DF,MF","Manchester Utd",25,1985-08-04,27,22,2124,23.6,4,13,17,4,0,0,3,0,0.17,0.55,0.72,0.17,0.72,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33544,"https://www.transfermarkt.com/antonio-valencia/profil/spieler/33544","https://fbref.com/en/players/08aa17d0/Antonio-Valencia","Antonio Valencia",33544,"18/09/2005","20 years 01 month 14 days","20","LaLiga","15/01/2006","20","20","Segunda División",20,"first scrap players","Antonio Valencia","Success",33544,"spieler","Antonio Valencia","4/8/1985",40,"Nueva Loja","1,80 m","Ecuador","Defender - Right-Back","right",NA,"Querétaro FC","12/5/2021","-","Nike",14,725,122,"Yes","12/5/2021",NA,8,"first scrap players transfer",33544,"Antonio Valencia",NA,"4-Aug-85",NA,180,"Ecuador","DF-MF (FB-WM, right)","Right","2005-2006","19 years","Recreativo",2005,"players corrected fbref","Yes","Antonio Valencia",39,3293,2,5,446,34552,30,17,6,"Antonio Valencia","No","Not found",NA,485,37845,32,"Defender - Right-Back","Defender",40,2021-05-12,35,15
521,"David Vaughan","wls WAL","MF","Sunderland",28,1983-02-18,22,17,1481,16.5,2,1,3,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14178,"https://www.transfermarkt.com/david-vaughan/profil/spieler/14178","https://fbref.com/en/players/b950cb68/David-Vaughan","David Vaughan",14178,"14/08/2010","27 years 05 months 27 days","27","Premier League","19/08/2000","17","17","",17,"first scrap players","David Vaughan","Success",14178,"spieler","David Vaughan","18/02/1983",42,"Abergele","1,71 m","Wales","Midfield - Defensive Midfield","left",NA,"Nantwich Town","1/7/2022","-",NA,1,14,4,"Yes","1/7/2022",NA,1,"first scrap players transfer",14178,"David Vaughan",NA,"18-Feb-83",NA,170,"Wales wls","MF (CM-DM)","Left","2001-2002","18 years","Crewe Alexandra",2001,"first scrap players fbref","Yes","David Vaughan",23,1536,1,7,483,36510,28,18,6,"David Vaughan","No","Not found",NA,506,38046,29,"Midfield - Defensive Midfield","Midfield",42,2022-07-01,39,22
522,"James Vaughan","eng ENG","FW","Norwich City",23,1988-07-14,5,1,151,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30471,"https://www.transfermarkt.com/james-vaughan/profil/spieler/30471","https://fbref.com/en/players/4fb0dc59/James-Vaughan","James Vaughan",30471,"10/4/2005","16 years 08 months 27 days","16","Premier League","19/09/2009","21","21","Championship",16,"first scrap players","James Vaughan","Success",30471,"spieler","James Vaughan","14/07/1988",37,"Birmingham","1,81 m","England  Jamaica","Attack - Centre-Forward","right",NA,"Tranmere","1/7/2021","-",NA,4,333,62,"Yes","1/7/2021",NA,4,"first scrap players transfer",30471,"James Vaughan",NA,"14-Jul-88",NA,180,"England eng","FW","Right","2004-2005","16 years","Everton",2004,"first scrap players fbref","No",NA,NA,NA,NA,NA,382,23276,114,17,13,"James Vaughan","No","Not found",NA,382,23276,114,"Attack - Centre-Forward","Attack",37,2021-07-01,32,16
523,"Josh Vela","eng ENG","DF,MF","Bolton",17,1993-12-14,3,0,40,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173804,"https://www.transfermarkt.com/josh-vela/profil/spieler/173804","https://fbref.com/en/players/dede4a42/Josh-Vela","Josh Vela",173804,"21/04/2012","18 years 04 months 07 days","18","Premier League","19/01/2013","19","19","Championship",18,"first scrap players","Josh Vela","Success",173804,"spieler","Josh Vela","14/12/1993",31,"Salford","1,81 m","England","Midfield - Central Midfield","right",NA,"Warrington","28/08/2025","30/06/2026",NA,1,69,14,"No",NA,NA,1,"first scrap players transfer",173804,"Josh Vela",NA,"December 14, 1993 (Age: 31-346d)","Salford, England, United Kingdom",181,NA,"DF-MF (CM-DM-FB, right)","Right","2011-2012","17 years","Bolton",2011,"first scrap players fbref","No",NA,NA,NA,NA,NA,393,31624,22,14,6,"Josh Vela","No","Not found",NA,393,31624,22,"Midfield - Central Midfield","Midfield",31,NA,NA,13
524,"Apostolos Vellios","gr GRE","FW","Everton",19,1992-01-08,13,2,260,2.9,3,0,3,3,0,0,1,0,1.04,0,1.04,1.04,1.04,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124495,"https://www.transfermarkt.com/apostolos-vellios/profil/spieler/124495","https://fbref.com/en/players/44918bf5/Apostolos-Vellios","Apostolos Vellios",124495,"18/10/2009","17 years 09 months 10 days","17","Super League 1","29/03/2014","22","22","Championship",17,"first scrap players","Apostolos Vellios","Success",124495,"spieler","Apostolos Vellios","8/1/1992",33,"Thessaloniki","1,91 m","Greece","Attack - Centre-Forward","right",NA,"Niki Volou","29/09/2025","30/06/2026",NA,1,3,0,"No",NA,9,1,"first scrap players transfer",124495,"Apostolos Vellios",NA,"8-Jan-92",NA,191,"Greece","FW","Right","2009-2010","17 years","Iraklis",2009,"first scrap players fbref","Yes","Apostolos Vellios",8,392,0,2,282,12626,55,16,12,"Apostolos Vellios","No","Not found",NA,290,13018,55,"Attack - Centre-Forward","Attack",33,NA,NA,16
525,"Thomas Vermaelen","be BEL","DF","Arsenal",25,1985-11-14,29,28,2477,27.5,6,1,7,6,0,0,8,0,0.22,0.04,0.25,0.22,0.25,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15904,"https://www.transfermarkt.com/thomas-vermaelen/profil/spieler/15904","https://fbref.com/en/players/d0d79694/Thomas-Vermaelen","Thomas Vermaelen",15904,"15/02/2004","18 years 03 months 01 day","18","Eredivisie","No second tier career","No second tier career","No second tier career","No second tier career",18,"first scrap players","Thomas Vermaelen","Success",15904,"spieler","Thomas Vermaelen","14/11/1985",40,"Kapellen","1,83 m","Belgium","Defender - Centre-Back","left",NA,"Vissel Kobe","21/01/2022","-","Nike",35,1401,285,"Yes","21/01/2022",NA,14,"first scrap players transfer",15904,"Thomas Vermaelen",NA,"14-Nov-85",NA,183,"Belgium","DF (CB, left)","Left","2003-2004","17 years","Ajax",2003,"first scrap players fbref","Yes","Thomas Vermaelen",65,4962,1,11,372,29379,27,19,6,"Thomas Vermaelen","No","Not found",NA,437,34341,28,"Defender - Centre-Back","Defender",40,2022-01-21,36,18
526,"Nemanja Vidić","rs SRB","DF","Manchester Utd",29,1981-10-21,6,6,501,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19726,"https://www.transfermarkt.com/nemanja-vidi/profil/spieler/19726","https://fbref.com/en/players/4b30b37e/Nemanja-Vidic","Nemanja Vidić",19726,"21/07/2004","22 years 09 months 00 days","22","Premier Liga","No second tier career","No second tier career","No second tier career","No second tier career",22,"first scrap players","Nemanja Vidić","Success",19726,"spieler","Nemanja Vidic‎","21/10/1981",44,"Titovo Užice","1,90 m","Serbia","Defender - Centre-Back","right",NA,"Inter","18/01/2016","-","Puma",11,541,80,"Yes","18/01/2016",NA,7,"first scrap players transfer",19726,"Nemanja Vidić",NA,"21-Oct-81",NA,190,"Serbia","DF (CB)","Right","2004","22 years","Spartak Moscow",NA,"first scrap players fbref","Yes","Nemanja Vidić",30,2630,0,4,337,29095,25,14,4,"Nemanja Vidić","No","Not found",NA,367,31725,25,"Defender - Centre-Back","Defender",44,2016-01-18,34,12
527,"Sam Vokes","wls WAL","FW","Wolves",21,1989-10-21,4,0,65,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48078,"https://www.transfermarkt.com/sam-vokes/profil/spieler/48078","https://fbref.com/en/players/1d6ac165/Sam-Vokes","Sam Vokes",48078,"15/08/2009","19 years 09 months 25 days","19","Premier League","9/8/2008","18","18","Championship",18,"first scrap players","Sam Vokes","Success",48078,"spieler","Sam Vokes","21/10/1989",36,"Southampton","1,86 m","Wales  England","Attack - Centre-Forward","right",NA,"Gillingham","1/7/2025","30/06/2026",NA,2,292,34,"No",NA,19,2,"first scrap players transfer",48078,"Sam Vokes",NA,"October 21, 1989 (Age: 36-035d)","Southampton, England, United Kingdom",186,"Wales wls  Other: England","FW","Right","2006-2007","16 years","Bournemouth",2006,"first scrap players fbref","Yes","Sam Vokes",44,2057,5,8,622,33770,131,20,11,"Sam Vokes","No","Not found",NA,666,35827,136,"Attack - Centre-Forward","Attack",36,NA,NA,18
528,"Michel Vorm","nl NED","GK","Swansea City",27,1983-10-20,37,37,3330,37,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26276,"https://www.transfermarkt.com/michel-vorm/profil/spieler/26276","https://fbref.com/en/players/1bebde9d/Michel-Vorm","Michel Vorm",26276,"19/08/2006","22 years 09 months 30 days","22","VriendenLoterij Eredivisie","12/8/2005","21","21","Keuken Kampioen Divisie",21,"first scrap players","Michel Vorm","Success",26276,"spieler","Michel Vorm","20/10/1983",42,"IJsselstein","1,83 m","Netherlands  Suriname","Goalkeeper","right",NA,"Tottenham","27/07/2020","-",NA,6,273,53,"Yes","27/07/2020",NA,5,"first scrap players transfer",26276,"Michel Vorm",NA,"20-Oct-83",NA,183,"Netherlands","GK","Right","2006-2007","22 years","Utrecht",2006,"first scrap players fbref","Yes","Michel Vorm",9,721,0,6,284,25281,0,14,3,"Michel Vorm","No","Not found",NA,293,26002,0,"Goalkeeper","Goalkeeper",42,2020-07-27,36,15
