club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
Livingston,https://www.transfermarkt.com/livingston-fc/startseite/verein/1241,Livingston FC,Scottish Premiership,SC1,https://www.transfermarkt.com/scottish-premiership/startseite/wettbewerb/SC1,First Tier,Scotland,12,1 year,€4.75m,28,29.4,15,,2,Home of the Set Fare Arena,,+€15k,ok
Lugano,https://www.transfermarkt.com/fc-lugano/startseite/verein/2790,FC Lugano,Super League,C1,https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1,First Tier,,3,11 years,€45.13m,28,26.1,18,,4,Stadio di Cornaredo,,+€3.71m,ok
Thun,https://www.transfermarkt.com/fc-thun/startseite/verein/938,FC Thun,Super League,C1,https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1,First Tier,,1,1 year,€22.43m,27,25.7,7,,2,Visana Stadion,,,ok
LASK,https://www.transfermarkt.com/lask/startseite/verein/413,LASK,Bundesliga,A1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/A1,First Tier,Austria,1,9 years,€33.28m,26,24.5,17,,4,Raiffeisen Arena,,+€2.09m,ok
CrÃ©teil,https://www.transfermarkt.com/us-creteil-lusitanos/startseite/verein/2067,US Créteil,Championnat National 2 - Groupe C,CN2C,https://www.transfermarkt.com/championnat-national-2-groupe-c/startseite/wettbewerb/CN2C,Fourth Tier,,8,2 years,€525k,30,28.2,9,,2,Stade Dominique-Duvauchelle,,,ok
Ind. Rivadavia,https://www.transfermarkt.com/independiente-rivadavia/startseite/verein/12179,CS Independiente Rivadavia,Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,First Tier,Argentina,1,2 years,€33.08m,29,26.6,5,,1,Bautista Gargantini,,,ok
Sochi,https://www.transfermarkt.com/fk-sochi/startseite/verein/41231,FC Sochi,Premier Liga,RU1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1,First Tier,Russia,16,1 year,€27.68m,28,26.9,6,,1,Fisht Olympic Stadium,,,ok
Barrow,https://www.transfermarkt.com/afc-barrow/startseite/verein/6168,Barrow AFC,League Two,GB4,https://www.transfermarkt.com/league-two/startseite/wettbewerb/GB4,Fourth Tier,England,24,6 years,€3.35m,29,27.7,8,,0,SO Legal Stadium,,,ok
Mantova,https://www.transfermarkt.com/mantova-1911/startseite/verein/2581,Mantova 1911,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,11,2 years,€26.78m,30,25.7,9,,0,Danilo Martelli,,+€1.20m,ok
TromsÃ¸,https://www.transfermarkt.com/tromso-il/startseite/verein/1293,Tromsø IL,Eliteserien,NO1,https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1,First Tier,Norway,2,6 years,€25.15m,23,24.3,6,,3,Romssa Arena,,,ok
King's Lynn,https://www.transfermarkt.com/kings-lynn-town/startseite/verein/38899,King's Lynn Town,National League North,NLN6,https://www.transfermarkt.com/national-league-north/startseite/wettbewerb/NLN6,Sixth Tier,,19,4 years,,27,26.6,10,,0,The Walks,,,ok
TB Rowdies,https://www.transfermarkt.com/tampa-bay-rowdies/startseite/verein/23565,Tampa Bay Rowdies,USL Championship,USL,https://www.transfermarkt.com/usl-championship/startseite/wettbewerb/USL,Second Tier,,1,10 years,€4.48m,27,26.7,12,,1,Al Lang Stadium,,,ok
CumbayÃ¡,https://www.transfermarkt.com/cumbaya-fc/startseite/verein/41301,Cumbayá FC,Liga Pro Serie B,EC2L,https://www.transfermarkt.com/liga-pro-serie-b/startseite/wettbewerb/EC2L,Second Tier,,8,2 years,€1.79m,28,25.4,7,,0,Estadio Olímpico Guillermo Albornoz,,,ok
St Patrick's,https://www.transfermarkt.com/st-patricks-former-pupils-fc/startseite/verein/32751,St Patrick's Former Pupils FC,,,,,,,,,2,22.3,0,,0,-,,,ok
Emmen,https://www.transfermarkt.com/fc-emmen/startseite/verein/1283,FC Emmen,Keuken Kampioen Divisie,NL2,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,Second Tier,,14,3 years,€7.50m,31,23.3,16,,1,De Oude Meerdijk,,,ok
Yamaga,https://www.transfermarkt.com/matsumoto-yamaga/startseite/verein/25765,Matsumoto Yamaga,J2/J3 100 Year Vision League,J2J3,https://www.transfermarkt.com/j2-j3-100-year-vision-league/startseite/wettbewerb/J2J3,,,7,1 year,€1.23m,29,25.4,2,,0,SUNPRO Alwin Stadium,,,ok
US Reggina,https://www.transfermarkt.com/reggina-1914/startseite/verein/1386,Reggina 1914,Serie D - Girone I,IT4I,https://www.transfermarkt.com/serie-d-girone-i/startseite/wettbewerb/IT4I,Fourth Tier,,3,3 years,€1.48m,32,25.5,7,,0,Oreste Granillo,,,ok
VPS,https://www.transfermarkt.com/vps-kramatorsk-1998-/startseite/verein/117181,VPS Kramatorsk (,,,,,,,,,0,0.0,,,0,-,,,ok
PuskÃ¡s,https://www.transfermarkt.com/puskas-akademia-fc/startseite/verein/37169,Puskás Akadémia FC,Nemzeti Bajnokság,UNG1,https://www.transfermarkt.com/nemzeti-bajnoksag/startseite/wettbewerb/UNG1,First Tier,,6,9 years,€12.38m,25,26.9,10,,6,Pancho Aréna,,+€1.33m,ok
Tours,https://www.transfermarkt.com/fc-tours-u19/startseite/verein/16037,Tours FC U19,National U19 - Grp. C,F19C,https://www.transfermarkt.com/championnat-national-u19-groupe-c/startseite/wettbewerb/F19C,,,,,,10,19.1,0,,0,Complexe de la Vallée du Cher,,,ok
CSA,https://www.transfermarkt.com/csa-steaua/startseite/verein/61687,CSA Steaua,Liga 2,RO2,https://www.transfermarkt.com/liga-2/startseite/wettbewerb/RO2,Second Tier,,6,5 years,€3.61m,26,26.0,4,,0,Steaua,,+€75k,ok
Guarani,https://www.transfermarkt.com/club-guarani/startseite/verein/11855,Club Guaraní,Primera División Apertura,PR1A,https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/PR1A,First Tier,,7,12 years,€16.75m,28,24.8,6,,2,Estadio Rogelio Livieres,,+€3.07m,ok
Tosno,https://www.transfermarkt.com/fk-atlant-tosno/startseite/verein/72129,FC Tosno,,,,,,,,,14,22.5,0,,0,-,,,ok
Ural,https://www.transfermarkt.com/ural-ekaterinburg/startseite/verein/11127,Ural Yekaterinburg,1.Division,RU2,https://www.transfermarkt.com/1-division/startseite/wettbewerb/RU2,Second Tier,,3,2 years,€13.45m,27,27.6,9,,2,Yekaterinburg Arena,,+€3.00m,ok
Jong AZ,https://www.transfermarkt.com/az-alkmaar-ii/startseite/verein/11368,AZ Alkmaar U21,Keuken Kampioen Divisie,NL2,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,Second Tier,,17,9 years,€11.35m,31,20.3,7,,1,"Sportpark ""De Kalverhoek"" (AFAS Trainingscomplex)",,,ok
NY Red Bulls II,https://www.transfermarkt.com/new-york-red-bulls-ii/startseite/verein/39815,Red Bull New York II,MLS Next Pro,MNP3,https://www.transfermarkt.com/mls-next-pro/startseite/wettbewerb/MNP3,Third Tier,,2,4 years,€7.00m,34,19.8,21,,3,MSU Soccer Park at Pittser Field,,,ok
Marinos,https://www.transfermarkt.com/yokohama-f-marinos/startseite/verein/3828,Yokohama F. Marinos,J1 100 Year Vision League,J1YV,https://www.transfermarkt.com/j1-100-year-vision-league/startseite/wettbewerb/J1YV,,,9,1 year,€14.43m,35,26.5,6,,0,NISSAN Stadium,,+€3.16m,ok
Saturn,https://www.transfermarkt.com/saturn-ramenskoe/startseite/verein/2737,Saturn Ramenskoe,2. Division B,2DVB,https://www.transfermarkt.com/2-division-b/startseite/wettbewerb/2DVB,Fourth Tier,,6,3 years,€75k,24,22.8,1,,0,Saturn,,+€24k,ok
Admira,https://www.transfermarkt.com/fc-admira-wacker-modling/startseite/verein/503,,,,,,,,,,,,,,,,,,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#in"
Rot-WeiÃŸ Erfurt,https://www.transfermarkt.com/rot-weiss-wilhelmsburg/startseite/verein/27817,,,,,,,,,,,,,,,,,,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#in"
Maccabi Tel Aviv FC,https://www.transfermarkt.com/maccabi-tel-aviv/startseite/verein/119,,,,,,,,,,,,,,,,,,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#in"
Maccabi Haifa FC,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064,,,,,,,,,,,,,,,,,,"Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#in"
