club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
Langreo,https://www.transfermarkt.com/up-langreo/startseite/verein/16646,UP Langreo,Segunda Federación - Grupo I,E4G1,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-i/startseite/wettbewerb/E4G1,Fourth Tier,Spain,14,5 years,€1.13m,21,26.7,2,,0,Ganzábal,,,clubs2
Levski Sofia,https://www.transfermarkt.com/levski-sofia/startseite/verein/156,Levski Sofia,efbet Liga,BU1,https://www.transfermarkt.com/efbet-liga/startseite/wettbewerb/BU1,First Tier,Bulgaria,1,78 years,€28.50m,23,27.6,17,,7,Georgi Asparuhov,,+€1.35m,clubs2
Arminia,https://www.transfermarkt.com/arminia-bielefeld/startseite/verein/10,Arminia Bielefeld,2. Bundesliga,L2,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2,Second Tier,Germany,16,1 year,€18.50m,29,26,6,,1,SchücoArena,,,clubs2
Alcoyano,https://www.transfermarkt.com/cd-alcoyano/startseite/verein/11259,CD Alcoyano,Segunda Federación - Grupo III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,Fourth Tier,Spain,5,1 year,€2.40m,25,26.7,2,,0,Gestaser El Collao,,,clubs2
Chicago Fire,https://www.transfermarkt.com/chicago-fire-fc/startseite/verein/432,Chicago Fire FC,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,United States,4,29 years,€46.33m,29,26,15,,5,Soldier Field,,,clubs2
Al-Taawoun,https://www.transfermarkt.com/al-taawoun-fc/startseite/verein/28844,Al,Saudi Pro League,SA1,https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1,First Tier,Saudi Arabia,6,16 years,€37.35m,28,26.6,12,,5,Al-Taawoun Club Stadium,,+€20.34m,clubs2
Al-Ettifaq,https://www.transfermarkt.com/al-ettifaq/startseite/verein/7732,Al,Saudi Pro League,SA1,https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1,First Tier,Saudi Arabia,7,10 years,€32.08m,25,27.4,11,,8,EGO Stadium,,+€17.44m,clubs2
Krasnodar,https://www.transfermarkt.com/fk-krasnodar/startseite/verein/16704,FC Krasnodar,Premier Liga,RU1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1,First Tier,Russia,2,14 years,€117.50m,29,26.3,13,,7,OZON Arena,,,clubs2
CF La NucÃ­a,https://www.transfermarkt.com/cf-la-nucia/startseite/verein/14796,CF La Nucía,Segunda Federación - Gr. III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,Fourth Tier,Spain,,,,20,26.9,2,,0,Olímpic Camilo Cano,,,clubs2
Crotone,https://www.transfermarkt.com/fc-crotone/startseite/verein/4083,FC Crotone,Serie C - Girone C,IT3C,https://www.transfermarkt.com/serie-c-girone-c/startseite/wettbewerb/IT3C,Third Tier,Italy,6,4 years,€4.90m,26,26.3,1,,0,Ezio Scida,,+€500k,clubs2
Troyes,https://www.transfermarkt.com/es-troyes-ac/startseite/verein/1095,ESTAC Troyes,Ligue 2,FR2,https://www.transfermarkt.com/ligue-2/startseite/wettbewerb/FR2,Second Tier,France,1,3 years,€40.78m,28,25.5,8,,2,Stade de l'Aube,,+€21.90m,clubs2
Akhisarspor,https://www.transfermarkt.com/akhisarspor/startseite/verein/19771,Akhisarspor,3.Lig Grup 3,TR4C,https://www.transfermarkt.com/3-lig-grup-3/startseite/wettbewerb/TR4C,Fourth Tier,Turkey,,,,0,0,,,0,Spor Toto Akhisar Stadyumu,,,clubs2
AcadÃ©mica,https://www.transfermarkt.com/hamilton-academical-fc/startseite/verein/2999,Hamilton Academical FC,Scottish League One,SC3,https://www.transfermarkt.com/scottish-league-one/startseite/wettbewerb/SC3,Third Tier,Scotland,9,1 year,,22,22.9,1,,0,ZLX Stadium,,,clubs2
1860 Munich,https://www.transfermarkt.com/tsv-1860-munchen/startseite/verein/72,TSV 1860 Munich,3. Liga,L3,https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3,Third Tier,Germany,8,8 years,€9.25m,33,26.8,9,,0,Städtisches Stadion an der Grünwalder Straße,,+€500k,clubs2
Alanyaspor,https://www.transfermarkt.com/alanyaspor/startseite/verein/11282,Alanyaspor,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,First Tier,Turkey,11,10 years,€30.85m,26,27.6,14,,6,Alanya Oba Stadyumu,,+€3.60m,clubs2
Moreirense,https://www.transfermarkt.com/moreirense-fc/startseite/verein/979,Moreirense FC,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Portugal,7,3 years,€29.95m,26,24.7,15,,1,Estádio C. J. de Almeida Freitas,,+€2.50m,clubs2
Lorca FC,https://www.transfermarkt.com/lorca-fc/startseite/verein/34559,Lorca FC (,LaLiga2,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,,,,0,0,,,0,Francisco Artés Carrasco,,,clubs2
Terrassa,https://www.transfermarkt.com/fc-terrassa/startseite/verein/1881,Terrassa FC,Segunda Federación - Grupo III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,Fourth Tier,Spain,8,5 years,€2.48m,22,27.1,4,,0,Olímpic de Terrassa,,,clubs2
Ponferradina,https://www.transfermarkt.com/sd-ponferradina/startseite/verein/4032,SD Ponferradina,Primera Federación - Grupo I,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,Third Tier,Spain,7,3 years,€4.60m,26,27.4,7,,1,El Toralín,,+€250k,clubs2
Lobos BUAP,https://www.transfermarkt.com/lobos-buap/startseite/verein/13357,Lobos BUAP (,Liga MX Apertura,MEXA,https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA,First Tier,Mexico,,,,0,0,,,0,Estadio Universitario BUAP,,,clubs2
Veracruz,https://www.transfermarkt.com/racing-fc-porto-palmeiras/startseite/verein/111341,Racing de Veracruz,,,,,,,,,31,24.2,0,,0,-,,,clubs2
Boavista,https://www.transfermarkt.com/boavista-fc-u19/startseite/verein/12963,Boavista FC Y19,,,,,,,,€100k,2,18.8,0,,0,-,,,clubs2
CE L'Hospitalet,https://www.transfermarkt.com/ce-lhospitalet/startseite/verein/9477,CE L'Hospitalet,2ª B - Grupo III,ES3C,https://www.transfermarkt.com/segunda-division-b-grupo-iii-bis-20-21-/startseite/wettbewerb/ES3C,Third Tier,Spain,,,,23,27.6,2,,0,Municipal de L’Hospitalet,,,clubs2
Saguntino,https://www.transfermarkt.com/atletico-saguntino/startseite/verein/50257,Atlético Saguntino,Segunda Federación - Gr. III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,Fourth Tier,Spain,,,,22,24.4,2,,0,Nou Camp de Morvedre,,,clubs2
Torrent CF,https://www.transfermarkt.com/torrent-cf/startseite/verein/67509,Torrent CF,Segunda Federación - Grupo III,E4G3,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iii/startseite/wettbewerb/E4G3,Fourth Tier,Spain,17,3 years,€1.40m,24,26.1,5,,0,San Gregorio,,+€20k,clubs2
Gil Vicente FC,https://www.transfermarkt.com/gil-vicente-fc/startseite/verein/2424,Gil Vicente FC,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Portugal,6,7 years,€36.35m,28,24.9,19,,2,Estádio Cidade de Barcelos,,+€31.40m,clubs2
Orlando City,https://www.transfermarkt.com/orlando-city-sc/startseite/verein/45604,Orlando City SC,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,United States,12,12 years,€48.85m,26,24.7,18,,5,Inter&Co Stadium,,,clubs2
Apollon Limassol,https://www.transfermarkt.com/apollon-limassol/startseite/verein/429,Apollon Limassol,Cyprus League,ZYP1,https://www.transfermarkt.com/protathlima-cyta/startseite/wettbewerb/ZYP1,First Tier,Cyprus,3,26 years,€11.95m,26,28,18,,3,Limassol Arena,,+€700k,clubs2
Perth Glory,https://www.transfermarkt.com/perth-glory/startseite/verein/970,Perth Glory,A-League Men,AUS1,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1,First Tier,Australia,10,21 years,€7.38m,31,25,7,,2,HBF Park,,,clubs2
Internacional,https://www.transfermarkt.com/sc-internacional-porto-alegre/startseite/verein/6600,Sport Club Internacional,Campeonato Brasileiro Série A,BRA1,https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1,First Tier,Brazil,14,9 years,€71.60m,30,27.2,10,,4,Estádio Beira-Rio,,+€41.39m,clubs2
Pontevedra,https://www.transfermarkt.com/pontevedra-cf/startseite/verein/5650,Pontevedra CF,Primera Federación - Grupo I,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,Third Tier,Spain,4,1 year,€4.50m,23,27.7,4,,0,Pasarón,,,clubs2
Omiya Ardija,https://www.transfermarkt.com/omiya-ardija/startseite/verein/7452,RB Omiya Ardija,J2/J3 100 Year Vision League,J2J3,https://www.transfermarkt.com/j2-j3-100-year-vision-league/startseite/wettbewerb/J2J3,0,Japan,4,1 year,€9.38m,33,25.1,5,,1,NACK5 Stadium Omiya,,,clubs2
Derby County,https://www.transfermarkt.com/derby-county/startseite/verein/22,Derby County,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,8,2 years,€63.68m,25,27.6,11,,7,Pride Park Stadium,,,clubs2
Blackpool,https://www.transfermarkt.com/fc-blackpool/startseite/verein/1181,Blackpool FC,League One,GB3,https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3,Third Tier,England,13,3 years,€13.08m,25,26.7,8,,3,Bloomfield Road,,+€637k,clubs2
Mumbai City,https://www.transfermarkt.com/mumbai-city-fc/startseite/verein/45274,Mumbai City FC,Indian Super League,IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,First Tier,India,2,9 years,€2.28m,27,26.3,4,,5,Mumbai Football Arena,,+€313k,clubs2
Bengaluru,https://www.transfermarkt.com/bengaluru-fc/startseite/verein/41030,Bengaluru FC,Indian Super League,IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,First Tier,India,5,9 years,€2.58m,30,25.9,2,,10,Sree Kanteerava Stadium,,,clubs2
Majadahonda,https://www.transfermarkt.com/cf-rayo-majadahonda/startseite/verein/13702,CF Rayo Majadahonda,Segunda Federación - Grupo V,E4G5,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-v/startseite/wettbewerb/E4G5,Fourth Tier,Spain,1,2 years,€2.58m,24,25.6,4,,0,Cerro del Espino,,,clubs2
Panthrakikos,https://www.transfermarkt.com/panthrakikos-komotini/startseite/verein/7185,Panthrakikos,Football League,GR2,https://www.transfermarkt.com/football-league/startseite/wettbewerb/GR2,Third Tier,Greece,,,,29,25.3,4,,0,Dimotiko Stadio Komotinis,,,clubs2
FC JuÃ¡rez,https://www.transfermarkt.com/fc-juarez/startseite/verein/49283,FC Juárez,Liga MX Apertura,MEXA,https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA,First Tier,Mexico,8,7 years,€40.80m,25,26.9,12,,2,Estadio Olímpico Benito Juárez,,,clubs2
Coritiba,https://www.transfermarkt.com/coritiba-fc/startseite/verein/776,Coritiba Foot Ball Club,Campeonato Brasileiro Série A,BRA1,https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1,First Tier,Brazil,9,1 year,€36.00m,30,28.9,3,,0,Estádio Major Antônio Couto Pereira,,,clubs2
Chapecoense,https://www.transfermarkt.com/chapecoense/startseite/verein/17776,Associação Chapecoense de Futebol,Campeonato Brasileiro Série A,BRA1,https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1,First Tier,Brazil,20,1 year,€17.65m,37,28.3,3,,0,Arena Condá,,,clubs2
Boston River,https://www.transfermarkt.com/ca-boston-river/startseite/verein/18074,CA Boston River,Liga AUF Intermedio,URUI,https://www.transfermarkt.com/torneo-intermedio/startseite/wettbewerb/URUI,First Tier,Uruguay,1,3 years,€8.03m,28,24.9,6,,0,Estadio Campeones Olímpicos de Florida,,+€5.40m,clubs2
Dynamo Kyiv,https://www.transfermarkt.com/dynamo-kiew/startseite/verein/338,Dynamo Kyiv,Premier Liga,UKR1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1,First Tier,Ukraine,4,35 years,€80.40m,28,25.5,5,,12,Valeriy Lobanovsky Stadion,,+€11.66m,clubs2
East Bengal,https://www.transfermarkt.com/sc-east-bengal/startseite/verein/14099,East Bengal FC,Indian Super League,IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,First Tier,India,1,6 years,€4.50m,29,27.1,6,,5,Vivekanada Yuba Bharati Krirangan,,,clubs2
Ferrol,https://www.transfermarkt.com/racing-ferrol/startseite/verein/1176,Racing Ferrol,Primera Federación - Grupo I,E3G1,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-i/startseite/wettbewerb/E3G1,Third Tier,Spain,10,1 year,€5.45m,24,27.5,2,,1,A Malata,,+€1.00m,clubs2
Ontinyent,https://www.transfermarkt.com/ontinyent-1931-cf/startseite/verein/85045,Ontinyent 1931 CF,,,,,,,,,13,27.8,0,,0,-,,,clubs2
Auxerre,https://www.transfermarkt.com/aj-auxerre/startseite/verein/290,AJ Auxerre,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,First Tier,France,15,2 years,€78.55m,29,24.3,15,,9,Stade de l'Abbé-Deschamps,,+€14.65m,clubs2
Panionios,https://www.transfermarkt.com/panionios-athen/startseite/verein/169,Panionios FC,Super League 2,GRS2,https://www.transfermarkt.com/super-league-2/startseite/wettbewerb/GRS2,Second Tier,Greece,2,2 years,€5.28m,33,26.4,9,,1,Stadio Neas Smyrnis,,,clubs2
Hearts,https://www.transfermarkt.com/hearts-of-oak/startseite/verein/3601,Hearts of Oak,Ghana Premier League,GHPL,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GHPL,First Tier,Ghana,3,7 years,€1.90m,32,24.9,0,,1,Accra Sports Stadium,,,clubs2
Lokeren,https://www.transfermarkt.com/ksc-lokeren-temse/startseite/verein/7773,KSC Lokeren,Challenger Pro League,BE2,https://www.transfermarkt.com/proximus-league/startseite/wettbewerb/BE2,Second Tier,Belgium,8,2 years,€6.70m,27,26,9,,1,Daknamstadion,,+€165k,clubs2
Helsingborg,https://www.transfermarkt.com/helsingborgs-if/startseite/verein/699,Helsingborgs IF,Superettan,SE2,https://www.transfermarkt.com/superettan/startseite/wettbewerb/SE2,Second Tier,Sweden,6,4 years,€5.28m,24,23.6,10,,1,Olympia,,,clubs2
Augsburg,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167,FC Augsburg,Bundesliga,L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,First Tier,Germany,9,15 years,€159.15m,29,25.6,19,,9,WWK ARENA,,,clubs2
Real Salt Lake,https://www.transfermarkt.com/real-salt-lake-city/startseite/verein/6643,Real Salt Lake City,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,United States,4,22 years,€44.90m,34,23.8,18,,3,America First Field,,,clubs2
Brussels,https://www.transfermarkt.com/rwd-molenbeek/startseite/verein/54189,RWDM Brussels,Challenger Pro League,BE2,https://www.transfermarkt.com/proximus-league/startseite/wettbewerb/BE2,Second Tier,Belgium,13,2 years,€9.75m,25,23.6,16,,3,Edmond Machtensstadion,,+€2.93m,clubs2
Mechelen,https://www.transfermarkt.com/kv-mechelen/startseite/verein/354,KV Mechelen,Jupiler Pro League,BE1,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1,First Tier,Belgium,5,7 years,€40.45m,29,23.4,19,,5,Achter de Kazerne,,+€5.63m,clubs2
Pars Jonoubi,https://www.transfermarkt.com/pars-jonoubi-jam/startseite/verein/44255,Pars Jonoubi Jam,Azadegan League,IRN2,https://www.transfermarkt.com/azadegan-league/startseite/wettbewerb/IRN2,Second Tier,Iran,5,6 years,€2.90m,33,26.8,0,,0,Takhti Jam Stadium,,,clubs2
Bethlehem,https://www.transfermarkt.com/super-eagles-fc-bethlehem/startseite/verein/60445,Super Eagles FC Bethlehem,,,,,,,,,36,34.9,1,,0,Goble Park,,,clubs2
Philadelphia Union,https://www.transfermarkt.com/philadelphia-union/startseite/verein/25467,Philadelphia Union,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,United States,15,17 years,€40.63m,29,24,11,,4,Subaru Park,,,clubs2
Vila Nova,https://www.transfermarkt.com/villanova-wildcats-villanova-university-/startseite/verein/47910,Villanova Wildcats (Villanova University),,,,,,,,,7,20.8,0,,0,-,,,clubs2
Olhanense,https://www.transfermarkt.com/sc-olhanense/startseite/verein/4750,SC Olhanense,Liga Portugal 2,PO2,https://www.transfermarkt.com/liga-portugal-2/startseite/wettbewerb/PO2,Second Tier,Portugal,,,,17,27.5,3,,0,Estádio José Arcanjo,,,clubs2
Rapid Wien,https://www.transfermarkt.com/sk-rapid-wien/startseite/verein/170,Rapid Vienna,Bundesliga,A1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/A1,First Tier,Austria,5,52 years,€43.20m,31,25.2,17,,6,Allianz-Stadion,,+€7.92m,clubs2
RB Salzburg,https://www.transfermarkt.com/red-bull-salzburg/startseite/verein/409,Red Bull Salzburg,Bundesliga,A1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/A1,First Tier,Austria,3,37 years,€130.40m,30,22.9,21,,7,Red Bull Arena Salzburg,,+€60.55m,clubs2
Viktoria PlzeÅˆ,https://www.transfermarkt.com/fc-viktoria-pilsen/startseite/verein/941,FC Viktoria Plzen,Chance Liga,TS1,https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/TS1,First Tier,Czech Republic,3,21 years,€52.18m,28,25,12,,14,Doosan Aréna,,+€11.09m,clubs2
Partizan,https://www.transfermarkt.com/fk-partizan-belgrad/startseite/verein/669,FK Partizan Belgrade,Super liga Srbije,SER1,https://www.transfermarkt.com/super-liga-srbije/startseite/wettbewerb/SER1,First Tier,Serbia,3,22 years,€45.80m,32,24.9,11,,6,Partizan Stadium,,+€3.24m,clubs2
Beira-Mar,https://www.transfermarkt.com/beira-mar-almada/startseite/verein/83696,Beira,,,,,,,,,0,0,,,0,-,,,clubs2
Rosenborg,https://www.transfermarkt.com/rosenborg-bk/startseite/verein/195,Rosenborg BK,Eliteserien,NO1,https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1,First Tier,Norway,12,48 years,€25.10m,27,24.1,9,,3,Lerkendal Stadion,,+€18.25m,clubs2
HJK,https://www.transfermarkt.com/hjk-helsinki/startseite/verein/1008,HJK Helsinki,Veikkausliiga,FI1,https://www.transfermarkt.com/veikkausliiga/startseite/wettbewerb/FI1,First Tier,Finland,5,37 years,€6.10m,26,24.5,7,,1,Bolt Arena,,,clubs2
Inter Turku,https://www.transfermarkt.com/fc-inter-turku/startseite/verein/8042,FC Inter Turku,Veikkausliiga,FI1,https://www.transfermarkt.com/veikkausliiga/startseite/wettbewerb/FI1,First Tier,Finland,1,28 years,€3.83m,26,24.1,6,,2,Veritas Stadion,,+€1.00m,clubs2
UCAM Murcia,https://www.transfermarkt.com/ucam-murcia/startseite/verein/34148,UCAM Murcia CF,Segunda Federación - Grupo IV,E4G4,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iv/startseite/wettbewerb/E4G4,Fourth Tier,Spain,7,4 years,€2.83m,24,27.2,3,,0,BeSoccer La Condomina,,,clubs2
Melilla,https://www.transfermarkt.com/ud-melilla/startseite/verein/16492,UD Melilla,Segunda Federación - Grupo IV,E4G4,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iv/startseite/wettbewerb/E4G4,Fourth Tier,Spain,16,1 year,€2.18m,25,27.4,3,,0,Álvarez Claro,,,clubs2
Tudelano,https://www.transfermarkt.com/cd-tudelano/startseite/verein/29271,CD Tudelano,Segunda Federación - Grupo II,E4G2,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E4G2,Fourth Tier,Spain,5,4 years,€2.43m,24,25.7,3,,0,Ciudad de Tudela,,+€10k,clubs2
Perugia,https://www.transfermarkt.com/ac-perugia-calcio/startseite/verein/839,AC Perugia Calcio,Serie C - Girone B,IT3B,https://www.transfermarkt.com/serie-c-girone-b/startseite/wettbewerb/IT3B,Third Tier,Italy,14,3 years,€4.40m,28,26.7,7,,0,Renato Curi,,+€497k,clubs2
Arezzo,https://www.transfermarkt.com/ss-arezzo/startseite/verein/4255,SS Arezzo,Serie C - Girone B,IT3B,https://www.transfermarkt.com/serie-c-girone-b/startseite/wettbewerb/IT3B,Third Tier,Italy,1,3 years,€8.43m,27,27.8,4,,1,Città di Arezzo,,,clubs2
Sassuolo,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574,US Sassuolo,Serie A,IT1,https://www.transfermarkt.com/serie-a/startseite/wettbewerb/IT1,First Tier,Italy,11,1 year,€184.10m,29,26,17,,12,Mapei Stadium - Città del Tricolore,,,clubs2
Casertana,https://www.transfermarkt.com/casertana-fc/startseite/verein/4106,Casertana FC,Serie C - Girone C,IT3C,https://www.transfermarkt.com/serie-c-girone-c/startseite/wettbewerb/IT3C,Third Tier,Italy,5,3 years,€5.76m,25,26.6,6,,1,Alberto Pinto,,,clubs2
CD Estepona,https://www.transfermarkt.com/cd-estepona-fs/startseite/verein/24445,CD Estepona FS,Segunda Federación - Grupo IV,E4G4,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iv/startseite/wettbewerb/E4G4,Fourth Tier,Spain,13,3 years,€1.93m,26,26.9,3,,0,Francisco Muñoz Pérez,,,clubs2
Manisaspor,https://www.transfermarkt.com/manisaspor/startseite/verein/1267,Manisaspor,3.Lig Grup 1,TR4A,https://www.transfermarkt.com/3-lig-grup-1/startseite/wettbewerb/TR4A,Fourth Tier,Turkey,,,,32,30.1,0,,0,Manisa 19 Mayıs,,,clubs2
Tijuana,https://www.transfermarkt.com/club-tijuana/startseite/verein/13353,Club Tijuana,Liga MX Apertura,MEXA,https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA,First Tier,Mexico,7,15 years,€46.30m,24,27.1,10,,4,Estadio Caliente,,+€4.92m,clubs2
Wilstermann,https://www.transfermarkt.com/wilstermann-cooperativas/startseite/verein/92637,Wilstermann Cooperativas,,,,,,,,,22,27.9,5,,0,Estadio Potosí,,,clubs2
Beveren,https://www.transfermarkt.com/waasland-beveren/startseite/verein/28643,SK Beveren,Challenger Pro League,BE2,https://www.transfermarkt.com/proximus-league/startseite/wettbewerb/BE2,Second Tier,Belgium,1,5 years,€10.78m,25,25.7,12,,2,Freethielstadion,,+€1.44m,clubs2
Strasbourg,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667,RC Strasbourg Alsace,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,First Tier,France,8,9 years,€361.75m,26,22.8,22,,14,Stade de la Meinau,,,clubs2
Beijing Renhe,https://www.transfermarkt.com/beijing-renhe-reserves/startseite/verein/29142,Beijing Renhe Reserves,,,,,,,,,0,0,,,0,-,,,clubs2
Ciudad Murcia,https://www.transfermarkt.com/cap-ciudad-de-murcia/startseite/verein/32398,CAP Ciudad de Murcia,,,,,,,,,2,26.3,0,,0,-,,,clubs2
NY Cosmos,https://www.transfermarkt.com/new-york-cosmos/startseite/verein/4835,New York Cosmos,USL League One,USC3,https://www.transfermarkt.com/usl-league-one/startseite/wettbewerb/USC3,Third Tier,United States,14,1 year,,27,24.4,8,,0,Hinchliffe Stadium,,,clubs2
Indy Eleven,https://www.transfermarkt.com/indy-eleven/startseite/verein/39148,Indy Eleven,USL Championship,USL,https://www.transfermarkt.com/usl-championship/startseite/wettbewerb/USL,Second Tier,United States,8,9 years,€2.85m,23,27.4,13,,1,Michael A. Carroll Stadium,,,clubs2
Adelaide,https://www.transfermarkt.com/heracles-almelo/startseite/verein/1304,Heracles Almelo,Eredivisie,NL1,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1,First Tier,Netherlands,18,3 years,€14.40m,31,25.8,17,,5,Asito Stadion,,+€3.00m,clubs2
Mohun Bagan,https://www.transfermarkt.com/atk-mohun-bagan-fc/startseite/verein/83266,Mohun Bagan Super Giant,Indian Super League,IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,First Tier,India,3,6 years,€6.35m,28,27.5,6,,11,Vivekananda Yuba Bharati Krirangan,,,clubs2
Punjab,https://www.transfermarkt.com/roundglass-punjab-fc/startseite/verein/85902,Punjab FC,Indian Super League,IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,First Tier,India,7,3 years,€2.50m,27,25.6,5,,4,"Jawaharlal Nehru Stadium, New Delhi",,+€225k,clubs2
Cherno More,https://www.transfermarkt.com/cherno-more-varna/startseite/verein/967,Cherno More Varna,efbet Liga,BU1,https://www.transfermarkt.com/efbet-liga/startseite/wettbewerb/BU1,First Tier,Bulgaria,6,26 years,€5.88m,22,26.2,7,,3,Ticha,,,clubs2
Jagiellonia,https://www.transfermarkt.com/jagiellonia-bialystok/startseite/verein/2300,Jagiellonia Bialystok,PKO BP Ekstraklasa,PL1,https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1,First Tier,Poland,2,19 years,€34.68m,28,24.4,15,,2,Chorten Arena,,+€7.73m,clubs2
Zawisza,https://www.transfermarkt.com/zawisza-bydgoszcz/startseite/verein/7153,Zawisza Bydgoszcz,Betclic 3 Liga - Group II,PL32,https://www.transfermarkt.com/3-liga-gruppe-ii/startseite/wettbewerb/PL32,Fourth Tier,Poland,1,5 years,,28,24.3,0,,0,Stadion im. Zdzisława Krzyszkowiaka,,,clubs2
Korona Kielce,https://www.transfermarkt.com/korona-kielce/startseite/verein/6110,Korona Kielce,PKO BP Ekstraklasa,PL1,https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1,First Tier,Poland,11,4 years,€15.75m,29,24.8,11,,4,Exbud Arena,,,clubs2
Gaziantep FK,https://www.transfermarkt.com/gaziantep-fk/startseite/verein/2832,Gaziantep FK,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,First Tier,Turkey,12,7 years,€30.00m,26,26.2,15,,5,Gaziantep Stadyumu,,,clubs2
Macarthur FC,https://www.transfermarkt.com/macarthur-fc/startseite/verein/71085,Macarthur FC,A-League Men,AUS1,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1,First Tier,Australia,7,6 years,€6.65m,29,26.7,5,,2,Campbelltown Stadium,,+€300k,clubs2
Bordeaux,https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40,FC Girondins Bordeaux,Championnat National 2 - Groupe A,CN2A,https://www.transfermarkt.com/championnat-national-2-groupe-a/startseite/wettbewerb/CN2A,Fourth Tier,France,2,1 year,€100k,22,27.1,8,,1,Stade Atlantique Bordeaux Métropole,,,clubs2
