season,squad,competition,age,matches_played,minutes,goals,assists,player_url,player_name
2010,eg Egypt,Africa Cup of Nations,22,6,468,1,0,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2014,eg Egypt,WCQ,26,6,289,0,,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2014,eg Egypt,Friendlies (M),26,2,172,0,0,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2015,eg Egypt,Friendlies (M),27,1,56,0,0,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2015,eg Egypt,Africa Cup of Nations qualification,27,2,148,0,,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2016,eg Egypt,Friendlies (M),28,1,45,0,0,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2017,eg Egypt,Friendlies (M),29,2,120,0,0,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2017,eg Egypt,Africa Cup of Nations,29,4,375,0,0,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2018,eg Egypt,1. World Cup,30,0,,,,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2018,eg Egypt,WCQ,30,2,93,0,0,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2018,eg Egypt,Friendlies (M),30,3,144,0,0,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2019,eg Egypt,Friendlies (M),31,1,90,1,0,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2019,eg Egypt,Africa Cup of Nations,31,4,359,2,0,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2019,eg Egypt,Africa Cup of Nations qualification,31,4,360,1,3,https://fbref.com/en/players/615ef733/Ahmed-Elmohamady,Ahmed Elmohamady
2008,ie Rep. of Ireland,UEFA Euro Qualifying,21,10,459,0,,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2010,ie Rep. of Ireland,WCQ,23,10,595,0,,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2012,ie Rep. of Ireland,UEFA Euro,25,3,207,0,1,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2012,ie Rep. of Ireland,UEFA Euro Qualifying,25,12,969,2,,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2014,ie Rep. of Ireland,WCQ,27,5,339,0,3,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2014,ie Rep. of Ireland,Friendlies (M),27,7,388,0,0,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2015,ie Rep. of Ireland,Friendlies (M),28,1,90,0,0,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2016,ie Rep. of Ireland,Friendlies (M),29,3,152,0,0,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2016,ie Rep. of Ireland,UEFA Euro,29,3,47,0,0,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2016,ie Rep. of Ireland,UEFA Euro Qualifying,29,8,479,2,1,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2017,ie Rep. of Ireland,Friendlies (M),30,2,103,0,0,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2018,ie Rep. of Ireland,WCQ,31,6,118,0,0,https://fbref.com/en/players/c7df693b/Aiden-McGeady,Aiden McGeady
2020,eng England,Friendlies (M),22,2,42,0,0,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,Ainsley Maitland-Niles
2020-2021,eng England,UEFA Nations League,22,3,46,0,0,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,Ainsley Maitland-Niles
2008,sct Scotland,UEFA Euro Qualifying,23,4,360,0,,https://fbref.com/en/players/688ae34c/Alan-Hutton,Alan Hutton
2010,sct Scotland,WCQ,25,5,378,0,,https://fbref.com/en/players/688ae34c/Alan-Hutton,Alan Hutton
2012,sct Scotland,UEFA Euro Qualifying,27,6,540,0,,https://fbref.com/en/players/688ae34c/Alan-Hutton,Alan Hutton
2014,sct Scotland,WCQ,29,10,900,0,0,https://fbref.com/en/players/688ae34c/Alan-Hutton,Alan Hutton
2014,sct Scotland,Friendlies (M),29,1,66,0,0,https://fbref.com/en/players/688ae34c/Alan-Hutton,Alan Hutton
2015,sct Scotland,Friendlies (M),30,0,,,,https://fbref.com/en/players/688ae34c/Alan-Hutton,Alan Hutton
2016,sct Scotland,Friendlies (M),31,1,90,0,0,https://fbref.com/en/players/688ae34c/Alan-Hutton,Alan Hutton
2016,sct Scotland,UEFA Euro Qualifying,31,9,810,0,1,https://fbref.com/en/players/688ae34c/Alan-Hutton,Alan Hutton
2018,sct Scotland,WCQ,33,0,,,,https://fbref.com/en/players/688ae34c/Alan-Hutton,Alan Hutton
2006,eng England,WCQ,25,4,136,0,,https://fbref.com/en/players/fdac06ea/Alan-Smith,Alan Smith
2008,eng England,UEFA Euro Qualifying,27,0,,,,https://fbref.com/en/players/fdac06ea/Alan-Smith,Alan Smith
2014,es Spain,WCQ,21,1,90,0,0,https://fbref.com/en/players/11b9265b/Alberto-Moreno,Alberto Moreno
2014,es Spain,Friendlies (M),21,1,90,0,0,https://fbref.com/en/players/11b9265b/Alberto-Moreno,Alberto Moreno
2017,es Spain,Friendlies (M),24,1,45,0,0,https://fbref.com/en/players/11b9265b/Alberto-Moreno,Alberto Moreno
2010,rs Serbia,1. World Cup,24,2,180,0,,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2010,rs Serbia,WCQ,24,2,180,0,,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2012,rs Serbia,UEFA Euro Qualifying,26,6,540,0,,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2014,rs Serbia,WCQ,28,9,810,4,1,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2014,rs Serbia,Friendlies (M),28,5,450,2,0,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2015,rs Serbia,Friendlies (M),29,2,180,0,1,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2016,rs Serbia,Friendlies (M),30,5,360,1,1,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2016,rs Serbia,UEFA Euro Qualifying,30,7,616,1,1,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2017,rs Serbia,Friendlies (M),31,0,,,,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2018,rs Serbia,1. World Cup,32,3,270,1,0,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2018,rs Serbia,WCQ,32,8,720,2,1,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2018,rs Serbia,Friendlies (M),32,4,336,0,0,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2018-2019,rs Serbia,UEFA Nations League,32,3,194,0,1,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2019,rs Serbia,Friendlies (M),33,1,66,0,0,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2020-2021,rs Serbia,UEFA Nations League,34,3,164,0,0,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2021,rs Serbia,UEFA Euro Qualifying,35,8,750,0,1,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov,Aleksandar Kolarov
2014,rs Serbia,Friendlies (M),19,5,279,0,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2014,rs Serbia,WCQ,19,2,158,1,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2015,rs Serbia,Friendlies (M),20,3,215,1,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2016,rs Serbia,Friendlies (M),21,5,256,2,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2016,rs Serbia,UEFA Euro Qualifying,21,7,485,0,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2017,rs Serbia,Friendlies (M),22,1,84,1,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2018,rs Serbia,1. World Cup,23,3,266,1,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2018,rs Serbia,WCQ,23,9,707,6,1,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2018,rs Serbia,Friendlies (M),23,4,332,5,1,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2018-2019,rs Serbia,UEFA Nations League,23,6,531,6,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2019,rs Serbia,Friendlies (M),24,1,90,1,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2020-2021,rs Serbia,UEFA Nations League,25,4,360,2,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2021,rs Serbia,UEFA Euro Qualifying,26,10,908,10,1,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2022,rs Serbia,1. World Cup,27,3,262,2,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2022,rs Serbia,WCQ,27,8,528,8,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2022,rs Serbia,Friendlies (M),27,2,151,0,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2022-2023,rs Serbia,UEFA Nations League,27,5,420,6,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2023,rs Serbia,Friendlies (M),28,1,24,0,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2024,rs Serbia,Friendlies (M),29,3,168,1,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2024,rs Serbia,UEFA Euro,29,3,240,0,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2024,rs Serbia,UEFA Euro Qualifying,29,7,589,5,1,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2024-2025,rs Serbia,UEFA Nations League,29,4,330,1,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2026,rs Serbia,WCQ,31,6,338,4,0,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,Aleksandar Mitrović
2012,bg Bulgaria,UEFA Euro Qualifying,21,1,90,0,,https://fbref.com/en/players/c15d1af9/Aleksandar-Tonev,Aleksandar Tonev
2014,bg Bulgaria,WCQ,23,7,327,3,1,https://fbref.com/en/players/c15d1af9/Aleksandar-Tonev,Aleksandar Tonev
2015,bg Bulgaria,Friendlies (M),24,1,30,0,0,https://fbref.com/en/players/c15d1af9/Aleksandar-Tonev,Aleksandar Tonev
2016,bg Bulgaria,Friendlies (M),25,2,13,1,0,https://fbref.com/en/players/c15d1af9/Aleksandar-Tonev,Aleksandar Tonev
2016,bg Bulgaria,UEFA Euro Qualifying,25,5,253,0,0,https://fbref.com/en/players/c15d1af9/Aleksandar-Tonev,Aleksandar Tonev
2017,bg Bulgaria,Friendlies (M),26,1,15,0,0,https://fbref.com/en/players/c15d1af9/Aleksandar-Tonev,Aleksandar Tonev
2018,bg Bulgaria,WCQ,27,5,295,1,0,https://fbref.com/en/players/c15d1af9/Aleksandar-Tonev,Aleksandar Tonev
2020,bg Bulgaria,Friendlies (M),29,1,82,0,0,https://fbref.com/en/players/c15d1af9/Aleksandar-Tonev,Aleksandar Tonev
2012,it Italy,UEFA Euro,28,3,104,0,1,https://fbref.com/en/players/cb5af1af/Alessandro-Diamanti,Alessandro Diamanti
2013,it Italy,FIFA Confederations Cup,29,2,153,1,0,https://fbref.com/en/players/cb5af1af/Alessandro-Diamanti,Alessandro Diamanti
2014,it Italy,WCQ,30,3,148,0,0,https://fbref.com/en/players/cb5af1af/Alessandro-Diamanti,Alessandro Diamanti
2008,ie Rep. of Ireland,UEFA Euro Qualifying,23,0,,,,https://fbref.com/en/players/102ed2b2/Alex-Bruce,Alex Bruce
2014,nir Northern Ireland,WCQ,29,0,,,,https://fbref.com/en/players/102ed2b2/Alex-Bruce,Alex Bruce
2014,nir Northern Ireland,Friendlies (M),29,1,90,0,0,https://fbref.com/en/players/102ed2b2/Alex-Bruce,Alex Bruce
