player_name,transfermarkt_id,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket,explanation
Jonás Gutiérrez,26443,https://www.transfermarkt.com/jons-gutirrez/profil/spieler/26443,16/03/2002,18 years 08 months 11 days,18,Torneo Final,8/8/2009,26,26,Championship,18,first scrap players
Eiður Guðjohnsen,3176,https://www.transfermarkt.com/eiur-gujohnsen/profil/spieler/3176,23/05/1994,15 years 08 months 08 days,15,,12/9/1998,19,19,,15,first scrap players
Asamoah Gyan,26802,https://www.transfermarkt.com/asamoah-gyan/profil/spieler/26802,16/05/2004,18 years 05 months 24 days,18,Serie A,25/09/2004,18,18,Serie B,18,first scrap players
Ali Al-Habsi,26633,https://www.transfermarkt.com/ali-al-habsi/profil/spieler/26633,29/05/2003,21 years 04 months 29 days,21,Eliteserien,21/12/2013,31,31,Championship,21,first scrap players
Marcus Hahnemann,4140,https://www.transfermarkt.com/marcus-hahnemann/profil/spieler/4140,20/04/1997,24 years 10 months 05 days,24,Major League Soccer,16/04/2001,28,28,,24,first scrap players
Greg Halford,42062,https://www.transfermarkt.com/greg-halford/profil/spieler/42062,17/03/2007,22 years 03 months 09 days,22,Premier League,5/8/2006,21,21,Championship,21,first scrap players
Rafik Halliche,67815,https://www.transfermarkt.com/rafik-halliche/profil/spieler/67815,30/01/2006,19 years 04 months 28 days,19,Ligue Professionnelle 1,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Mark Halstead,99972,https://www.transfermarkt.com/mark-halstead/profil/spieler/99972,7/3/2011,20 years 05 months 18 days,20,Premier League,2/2/2013,22,22,Championship,20,first scrap players
Adam Hammill,38091,https://www.transfermarkt.com/adam-hammill/profil/spieler/38091,21/01/2007,18 years 11 months 27 days,18,Scottish Premiership,11/8/2007,19,19,Championship,18,first scrap players
Brede Hangeland,25553,https://www.transfermarkt.com/brede-hangeland/profil/spieler/25553,16/04/2001,19 years 09 months 27 days,19,Eliteserien,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Grant Hanley,121385,https://www.transfermarkt.com/grant-hanley/profil/spieler/121385,9/5/2010,18 years 05 months 19 days,18,Premier League,1/9/2012,20,20,Championship,18,first scrap players
Marlon Harewood,10011,https://www.transfermarkt.com/marlon-harewood/profil/spieler/10011,11/5/1998,18 years 08 months 16 days,18,Veikkausliiga,3/5/1998,18,18,,18,first scrap players
Owen Hargreaves,201,https://www.transfermarkt.com/owen-hargreaves/profil/spieler/201,12/8/2000,19 years 06 months 23 days,19,1.Bundesliga,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Steve Harper,3562,https://www.transfermarkt.com/steve-harper/profil/spieler/3562,28/11/1998,23 years 08 months 14 days,23,Premier League,20/12/1997,22,22,,22,first scrap players
Joe Hart,40204,https://www.transfermarkt.com/joe-hart/profil/spieler/40204,14/10/2006,19 years 05 months 25 days,19,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
John Heitinga,4315,https://www.transfermarkt.com/john-heitinga/profil/spieler/4315,26/08/2001,17 years 09 months 11 days,17,Eredivisie,24/08/2015,31,31,Keuken Kampioen Divisie,17,first scrap players
Bjørn Helge Riise,13485,https://www.transfermarkt.com/bjrn-helge-riise/profil/spieler/13485,3/7/2005,22 years 12 days,22,Eliteserien,15/02/2011,27,27,Championship,22,first scrap players
Jordan Henderson,61651,https://www.transfermarkt.com/jordan-henderson/profil/spieler/61651,1/11/2008,18 years 04 months 15 days,18,Premier League,31/01/2009,18,18,Championship,18,first scrap players
Wayne Hennessey,45494,https://www.transfermarkt.com/wayne-hennessey/profil/spieler/45494,15/08/2009,22 years 06 months 22 days,22,Premier League,11/8/2007,20,20,Championship,20,first scrap players
Karl Henry,13582,https://www.transfermarkt.com/karl-henry/profil/spieler/13582,15/08/2009,26 years 08 months 20 days,26,Premier League,10/8/2002,19,19,First Division (until 03/04),19,first scrap players
Chris Herd,61572,https://www.transfermarkt.com/chris-herd/profil/spieler/61572,13/11/2010,21 years 07 months 09 days,21,Premier League,1/10/2014,25,25,Championship,21,first scrap players
Javier Hernández,50935,https://www.transfermarkt.com/javier-hernndez/profil/spieler/50935,13/05/2007,18 years 11 months 11 days,18,Liguilla Clausura,4/5/2006,17,17,Liguilla de Expansión Clausura,17,first scrap players
Emile Heskey,3142,https://www.transfermarkt.com/emile-heskey/profil/spieler/3142,8/3/1995,17 years 01 month 25 days,17,Premier League,21/01/1996,18,18,,17,first scrap players
Tony Hibbert,3614,https://www.transfermarkt.com/tony-hibbert/profil/spieler/3614,31/03/2001,20 years 01 month 11 days,20,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,20,first scrap players
Danny Higginbotham,3686,https://www.transfermarkt.com/danny-higginbotham/profil/spieler/3686,10/5/1998,19 years 04 months 11 days,19,Premier League,26/09/1998,19,19,Challenger Pro League,19,first scrap players
Zavon Hines,67081,https://www.transfermarkt.com/zavon-hines/profil/spieler/67081,23/08/2009,20 years 07 months 27 days,20,Premier League,29/03/2008,19,19,Championship,19,first scrap players
Thomas Hitzlsperger,1573,https://www.transfermarkt.com/thomas-hitzlsperger/profil/spieler/1573,13/01/2001,18 years 09 months 08 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Alexander Hleb,597,https://www.transfermarkt.com/alexander-hleb/profil/spieler/597,11/4/1999,17 years 11 months 11 days,17,Vysheyshaya Liga,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Jonathan Hogg,61573,https://www.transfermarkt.com/jonathan-hogg/profil/spieler/61573,13/11/2010,21 years 11 months 07 days,21,Premier League,25/01/2011,22,22,Championship,21,first scrap players
Junior Hoilett,58993,https://www.transfermarkt.com/junior-hoilett/profil/spieler/58993,15/08/2009,19 years 02 months 10 days,19,Premier League,3/2/2008,17,17,2.Bundesliga,17,first scrap players
Stuart Holden,30071,https://www.transfermarkt.com/stuart-holden/profil/spieler/30071,27/05/2006,20 years 09 months 25 days,20,Major League Soccer,26/02/2013,27,27,Championship,20,first scrap players
Tim Howard,4267,https://www.transfermarkt.com/tim-howard/profil/spieler/4267,18/08/1998,19 years 05 months 12 days,19,Major League Soccer,8/3/2020,41,41,USL Championship,19,first scrap players
Tom Huddlestone,13465,https://www.transfermarkt.com/tom-huddlestone/profil/spieler/13465,31/01/2006,19 years 01 month 03 days,19,Premier League,9/8/2003,16,16,First Division (until 03/04),16,first scrap players
Aaron Hughes,3580,https://www.transfermarkt.com/aaron-hughes/profil/spieler/3580,10/1/1998,18 years 02 months 02 days,18,Premier League,10/2/2014,34,34,Championship,18,first scrap players
Stephen Hunt,36799,https://www.transfermarkt.com/stephen-hunt/profil/spieler/36799,19/08/2006,25 years 18 days,25,Premier League,1/4/2000,18,18,,18,first scrap players
James Hurst,110863,https://www.transfermarkt.com/james-hurst/profil/spieler/110863,17/05/2010,18 years 03 months 16 days,18,Pepsideild,17/09/2011,19,19,Championship,18,first scrap players
Robert Huth,2998,https://www.transfermarkt.com/robert-huth/profil/spieler/2998,11/5/2002,17 years 08 months 23 days,17,Premier League,7/8/2009,24,24,Championship,17,first scrap players
Alan Hutton,9619,https://www.transfermarkt.com/alan-hutton/profil/spieler/9619,22/12/2002,18 years 22 days,18,,24/11/2012,27,27,Championship,18,first scrap players
Pablo Ibáñez,8116,https://www.transfermarkt.com/pablo-ibez/profil/spieler/8116,30/08/2003,22 years 27 days,22,LaLiga,15/09/2002,21,21,Segunda División,21,first scrap players
Hérita Ilunga,17432,https://www.transfermarkt.com/hrita-ilunga/profil/spieler/17432,7/8/2004,22 years 05 months 13 days,22,Ligue 1,2/8/2003,21,21,Ligue 2,21,first scrap players
Stephen Ireland,34838,https://www.transfermarkt.com/stephen-ireland/profil/spieler/34838,18/09/2005,19 years 27 days,19,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Branislav Ivanović,36827,https://www.transfermarkt.com/branislav-ivanovi/profil/spieler/36827,21/08/2004,20 years 05 months 30 days,20,Linglong Tire Super liga Srbije,No second tier career,No second tier career,No second tier career,No second tier career,20,first scrap players
Jussi Jääskeläinen,3692,https://www.transfermarkt.com/jussi-jskelinen/profil/spieler/3692,17/05/1992,17 years 28 days,17,Veikkausliiga,8/8/1998,23,23,,17,first scrap players
Lars Jacobsen,1423,https://www.transfermarkt.com/lars-jacobsen/profil/spieler/1423,6/8/2000,20 years 10 months 17 days,20,Superligaen,No second tier career,No second tier career,No second tier career,No second tier career,20,first scrap players
Phil Jagielka,13520,https://www.transfermarkt.com/phil-jagielka/profil/spieler/13520,19/08/2006,24 years 02 days,24,Premier League,7/5/2000,17,17,,17,first scrap players
Gonzalo Jara,40429,https://www.transfermarkt.com/gonzalo-jara/profil/spieler/40429,9/3/2003,17 years 06 months 08 days,17,Torneo Apertura (-2016),26/09/2009,24,24,Championship,17,first scrap players
Matthew Jarvis,15921,https://www.transfermarkt.com/matthew-jarvis/profil/spieler/15921,15/08/2009,23 years 02 months 24 days,23,Premier League,4/11/2003,17,17,First Division (until 03/04),17,first scrap players
Jermaine Jenas,3461,https://www.transfermarkt.com/jermaine-jenas/profil/spieler/3461,9/2/2002,18 years 11 months 22 days,18,Premier League,14/01/2001,17,17,,17,first scrap players
Cameron Jerome,35855,https://www.transfermarkt.com/cameron-jerome/profil/spieler/35855,12/8/2007,20 years 11 months 29 days,20,Premier League,2/10/2004,18,18,Championship,18,first scrap players
Martin Jiránek,6065,https://www.transfermarkt.com/martin-jirnek/profil/spieler/6065,1/8/1999,20 years 02 months 07 days,20,,26/08/2001,22,22,Serie B,20,first scrap players
Jô,34156,https://www.transfermarkt.com/j/profil/spieler/34156,19/07/2003,16 years 03 months 29 days,16,Campeonato Brasileiro Série A,28/01/2023,35,35,,16,first scrap players
Adam Johnson,31579,https://www.transfermarkt.com/adam-johnson/profil/spieler/31579,10/9/2005,18 years 01 month 27 days,18,Premier League,17/10/2006,19,19,Championship,18,first scrap players
Andrew Johnson,14031,https://www.transfermarkt.com/andrew-johnson/profil/spieler/14031,14/08/2004,23 years 06 months 04 days,23,Premier League,31/08/1998,17,17,,17,first scrap players
Eddie Johnson,38773,https://www.transfermarkt.com/eddie-johnson/profil/spieler/38773,12/5/2001,17 years 01 month 11 days,17,Major League Soccer,30/08/2008,24,24,Championship,17,first scrap players
Glen Johnson,3881,https://www.transfermarkt.com/glen-johnson/profil/spieler/3881,22/01/2003,18 years 04 months 30 days,18,Premier League,19/10/2002,18,18,First Division (until 03/04),18,first scrap players
Roger Johnson,42751,https://www.transfermarkt.com/roger-johnson/profil/spieler/42751,16/08/2009,26 years 03 months 19 days,26,Premier League,5/8/2006,23,23,Championship,23,first scrap players
David Jones,24634,https://www.transfermarkt.com/david-jones/profil/spieler/24634,15/01/2006,21 years 02 months 11 days,21,VriendenLoterij Eredivisie,6/8/2005,20,20,Championship,20,first scrap players
Jermaine Jones,1321,https://www.transfermarkt.com/jermaine-jones/profil/spieler/1321,28/04/2001,19 years 05 months 25 days,19,1.Bundesliga,28/07/2001,19,19,2.Bundesliga,19,first scrap players
Kenwyne Jones,28245,https://www.transfermarkt.com/kenwyne-jones/profil/spieler/28245,22/01/2005,20 years 03 months 17 days,20,Premier League,19/02/2005,20,20,Championship,20,first scrap players
Phil Jones,117996,https://www.transfermarkt.com/phil-jones/profil/spieler/117996,21/03/2010,18 years 01 month 00 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Nigel de Jong,4672,https://www.transfermarkt.com/nigel-de-jong/profil/spieler/4672,19/10/2002,17 years 10 months 19 days,17,Eredivisie,20/10/2020,35,35,,17,first scrap players
Milan Jovanović,14933,https://www.transfermarkt.com/milan-jovanovi/profil/spieler/14933,9/3/2003,21 years 10 months 19 days,21,Premier Liga,31/10/2003,22,22,Persha Liga,21,first scrap players
Younès Kaboul,27114,https://www.transfermarkt.com/youns-kaboul/profil/spieler/27114,3/10/2004,18 years 08 months 29 days,18,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Gaël Kakuta,74297,https://www.transfermarkt.com/gal-kakuta/profil/spieler/74297,21/11/2009,18 years 05 months 00 days,18,Premier League,8/10/2022,31,31,Ligue 2,18,first scrap players
Nikola Kalinić,36371,https://www.transfermarkt.com/nikola-kalini/profil/spieler/36371,12/2/2006,18 years 01 month 07 days,18,SuperSport HNL,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Salomon Kalou,7971,https://www.transfermarkt.com/salomon-kalou/profil/spieler/7971,30/11/2003,18 years 03 months 25 days,18,Eredivisie,5/3/2004,18,18,Keuken Kampioen Divisie,18,first scrap players
Diomansy Kamara,6053,https://www.transfermarkt.com/diomansy-kamara/profil/spieler/6053,22/09/2002,21 years 10 months 14 days,21,Serie A,7/10/2001,20,20,Serie B,20,first scrap players
Robbie Keane,3144,https://www.transfermarkt.com/robbie-keane/profil/spieler/3144,21/08/1999,19 years 01 month 13 days,19,Premier League,9/8/1997,17,17,,17,first scrap players
Dekel Keinan,24476,https://www.transfermarkt.com/dekel-keinan/profil/spieler/24476,3/5/2003,18 years 07 months 18 days,18,Ligat ha'Al,6/2/2011,26,26,Championship,18,first scrap players
Martin Kelly,78959,https://www.transfermarkt.com/martin-kelly/profil/spieler/78959,15/03/2010,19 years 10 months 16 days,19,Premier League,5/10/2022,32,32,Championship,19,first scrap players
Stephen Kelly,12125,https://www.transfermarkt.com/stephen-kelly/profil/spieler/12125,28/12/2003,20 years 03 months 22 days,20,Premier League,27/09/2003,20,20,First Division (until 03/04),20,first scrap players
Andy Keogh,29419,https://www.transfermarkt.com/andy-keogh/profil/spieler/29419,15/08/2009,23 years 02 months 30 days,23,Premier League,30/01/2007,20,20,Championship,20,first scrap players
Michael Kightly,25366,https://www.transfermarkt.com/michael-kightly/profil/spieler/25366,20/09/2009,23 years 07 months 27 days,23,Premier League,2/12/2006,20,20,Championship,20,first scrap players
Ledley King,3360,https://www.transfermarkt.com/ledley-king/profil/spieler/3360,1/5/1999,18 years 06 months 19 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Richard Kingson,7125,https://www.transfermarkt.com/richard-kingson/profil/spieler/7125,21/11/1998,20 years 05 months 08 days,20,Süper Lig,27/01/2014,35,35,1.Lig,20,first scrap players
Chris Kirkland,3219,https://www.transfermarkt.com/chris-kirkland/profil/spieler/3219,14/10/2000,19 years 05 months 12 days,19,Premier League,11/8/2001,20,20,First Division (until 03/04),19,first scrap players
Ivan Klasnić,690,https://www.transfermarkt.com/ivan-klasni/profil/spieler/690,28/07/2001,21 years 05 months 29 days,21,1.Bundesliga,5/4/1998,18,18,2.Bundesliga,18,first scrap players
Zat Knight,4012,https://www.transfermarkt.com/zat-knight/profil/spieler/4012,22/09/2001,21 years 04 months 20 days,21,Premier League,18/08/2012,32,32,Championship,21,first scrap players
Aleksandar Kolarov,46156,https://www.transfermarkt.com/aleksandar-kolarov/profil/spieler/46156,7/8/2004,18 years 08 months 28 days,18,Linglong Tire Super liga Srbije,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Vincent Kompany,9594,https://www.transfermarkt.com/vincent-kompany/profil/spieler/9594,9/8/2003,17 years 03 months 30 days,17,Jupiler Pro League,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Paul Konchesky,3296,https://www.transfermarkt.com/paul-konchesky/profil/spieler/3296,17/01/1999,17 years 08 months 02 days,17,Premier League,16/08/1997,16,16,,16,first scrap players
Laurent Koscielny,76277,https://www.transfermarkt.com/laurent-koscielny/profil/spieler/76277,9/8/2009,23 years 10 months 30 days,23,Ligue 1,1/11/2004,19,19,Ligue 2,19,first scrap players
Radoslav Kováč,9702,https://www.transfermarkt.com/radoslav-kov/profil/spieler/9702,3/6/1998,18 years 06 months 07 days,18,Fortuna Liga,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Niko Kranjčar,16746,https://www.transfermarkt.com/niko-kranjar/profil/spieler/16746,25/07/2004,19 years 11 months 12 days,19,SuperSport HNL,21/09/2013,29,29,Championship,19,first scrap players
Tim Krul,33027,https://www.transfermarkt.com/tim-krul/profil/spieler/33027,18/09/2010,22 years 05 months 15 days,22,Premier League,8/8/2009,21,21,Championship,21,first scrap players
Shefki Kuqi,12398,https://www.transfermarkt.com/shefki-kuqi/profil/spieler/12398,30/04/1995,18 years 05 months 20 days,18,Veikkausliiga,3/2/2001,24,24,,18,first scrap players
Tomasz Kuszczak,1320,https://www.transfermarkt.com/tomasz-kuszczak/profil/spieler/1320,18/09/2004,22 years 05 months 29 days,22,Premier League,25/02/2012,29,29,Championship,22,first scrap players
Dirk Kuyt,4010,https://www.transfermarkt.com/dirk-kuyt/profil/spieler/4010,30/08/1998,18 years 01 month 08 days,18,Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Louis Laing,110865,https://www.transfermarkt.com/louis-laing/profil/spieler/110865,14/05/2011,18 years 02 months 08 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Frank Lampard,3163,https://www.transfermarkt.com/frank-lampard/profil/spieler/3163,31/01/1996,17 years 07 months 11 days,17,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Sebastian Larsson,31720,https://www.transfermarkt.com/sebastian-larsson/profil/spieler/31720,1/2/2006,20 years 07 months 26 days,20,Premier League,5/8/2006,21,21,Championship,20,first scrap players
Jens Lehmann,122,https://www.transfermarkt.com/jens-lehmann/profil/spieler/122,3/8/1991,21 years 08 months 24 days,21,1.Bundesliga,30/09/1988,18,18,2.Bundesliga,18,first scrap players
Lucas Leiva,41414,https://www.transfermarkt.com/lucas-leiva/profil/spieler/41414,16/04/2006,19 years 03 months 07 days,19,Campeonato Brasileiro Série A,23/07/2022,35,35,,19,first scrap players
Aaron Lennon,14221,https://www.transfermarkt.com/aaron-lennon/profil/spieler/14221,23/08/2003,16 years 04 months 07 days,16,Premier League,29/08/2004,17,17,Championship,16,first scrap players
Joleon Lescott,4241,https://www.transfermarkt.com/joleon-lescott/profil/spieler/4241,19/08/2006,24 years 03 days,24,Premier League,13/08/2000,17,17,,17,first scrap players
Eric Lichaj,61575,https://www.transfermarkt.com/eric-lichaj/profil/spieler/61575,10/11/2010,21 years 11 months 24 days,21,Premier League,12/2/2011,22,22,Championship,21,first scrap players
Amine Linganzi,88596,https://www.transfermarkt.com/amine-linganzi/profil/spieler/88596,28/09/2008,18 years 10 months 12 days,18,Ligue 1,15/01/2011,21,21,Championship,18,first scrap players
Jason Lowe,117997,https://www.transfermarkt.com/jason-lowe/profil/spieler/117997,15/01/2011,19 years 04 months 13 days,19,Premier League,18/08/2012,20,20,Championship,19,first scrap players
Kazenga LuaLua,52576,https://www.transfermarkt.com/kazenga-lualua/profil/spieler/52576,19/01/2008,17 years 01 month 09 days,17,Premier League,4/4/2009,18,18,Championship,17,first scrap players
David Luiz,46741,https://www.transfermarkt.com/david-luiz/profil/spieler/46741,12/3/2007,19 years 10 months 18 days,19,Liga Portugal,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Craig Lynch,121334,https://www.transfermarkt.com/craig-lynch/profil/spieler/121334,NA,NA,NA,NA,No second tier career,No second tier career,No second tier career,No second tier career,NA,first scrap players
Peter Løvenkrands,9620,https://www.transfermarkt.com/peter-lvenkrands/profil/spieler/9620,19/08/2000,20 years 06 months 21 days,20,Scottish Premiership,13/09/2009,29,29,Championship,20,first scrap players
Federico Macheda,61887,https://www.transfermarkt.com/federico-macheda/profil/spieler/61887,5/4/2009,17 years 07 months 14 days,17,Premier League,17/09/2013,22,22,Championship,17,first scrap players
Jean Makoun,5648,https://www.transfermarkt.com/jean-makoun/profil/spieler/5648,2/11/2002,19 years 05 months 04 days,19,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Steed Malbranque,3569,https://www.transfermarkt.com/steed-malbranque/profil/spieler/3569,21/02/1998,18 years 01 month 15 days,18,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Florent Malouda,5461,https://www.transfermarkt.com/florent-malouda/profil/spieler/5461,19/12/1997,17 years 06 months 06 days,17,Ligue 1,8/5/1997,16,16,Ligue 2,16,first scrap players
Michael Mancienne,38100,https://www.transfermarkt.com/michael-mancienne/profil/spieler/38100,28/02/2009,21 years 01 month 20 days,21,Premier League,21/10/2006,18,18,Championship,18,first scrap players
Obafemi Martins,5794,https://www.transfermarkt.com/obafemi-martins/profil/spieler/5794,22/12/2002,18 years 01 month 24 days,18,Serie A,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Javier Mascherano,19981,https://www.transfermarkt.com/javier-mascherano/profil/spieler/19981,3/8/2003,19 years 01 month 26 days,19,Torneo Inicial,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
James McArthur,41416,https://www.transfermarkt.com/james-mcarthur/profil/spieler/41416,11/8/2008,20 years 10 months 04 days,20,Scottish Premiership,20/08/2005,17,17,Scottish Championship,17,first scrap players
Benni McCarthy,3091,https://www.transfermarkt.com/benni-mccarthy/profil/spieler/3091,19/08/1997,19 years 09 months 07 days,19,Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
James McCarthy,45333,https://www.transfermarkt.com/james-mccarthy/profil/spieler/45333,11/8/2008,17 years 08 months 30 days,17,Scottish Premiership,30/09/2006,15,15,Scottish Championship,15,first scrap players
Josh McEachran,128905,https://www.transfermarkt.com/josh-mceachran/profil/spieler/128905,25/09/2010,17 years 06 months 27 days,17,Premier League,21/08/2012,19,19,Championship,17,first scrap players
James McFadden,9956,https://www.transfermarkt.com/james-mcfadden/profil/spieler/9956,26/12/2000,17 years 08 months 12 days,17,Scottish Premiership,9/8/2008,25,25,Championship,17,first scrap players
Ryan McGivern,61632,https://www.transfermarkt.com/ryan-mcgivern/profil/spieler/61632,3/4/2011,21 years 02 months 26 days,21,Premier League,20/10/2009,19,19,Championship,19,first scrap players
Callum McManaman,61711,https://www.transfermarkt.com/callum-mcmanaman/profil/spieler/61711,24/05/2009,18 years 29 days,18,Premier League,18/10/2011,20,20,Championship,18,first scrap players
Raul Meireles,13168,https://www.transfermarkt.com/raul-meireles/profil/spieler/13168,17/08/2003,20 years 05 months 00 days,20,Liga Portugal,12/1/2003,19,19,,19,first scrap players
Abdoulaye Méïté,5315,https://www.transfermarkt.com/abdoulaye-mt/profil/spieler/5315,26/01/2001,20 years 03 months 20 days,20,Ligue 1,1/5/1999,18,18,Ligue 2,18,first scrap players
John Mensah,5917,https://www.transfermarkt.com/john-mensah/profil/spieler/5917,6/10/2002,19 years 10 months 07 days,19,Serie A,5/8/2000,17,17,Brack.ch Challenge League,17,first scrap players
David Meyler,68183,https://www.transfermarkt.com/david-meyler/profil/spieler/68183,20/06/2008,19 years 22 days,19,League of Ireland Premier Division,10/11/2012,23,23,Championship,19,first scrap players
Simon Mignolet,50219,https://www.transfermarkt.com/simon-mignolet/profil/spieler/50219,5/5/2007,19 years 01 month 29 days,19,Jupiler Pro League,13/08/2008,20,20,Challenger Pro League,19,first scrap players
Nenad Milijaš,36123,https://www.transfermarkt.com/nenad-milija/profil/spieler/36123,7/11/2004,21 years 06 months 08 days,21,Linglong Tire Super liga Srbije,14/03/2015,31,31,China League One,21,first scrap players
Ishmael Miller,38776,https://www.transfermarkt.com/ishmael-miller/profil/spieler/38776,18/03/2006,19 years 13 days,19,Premier League,18/08/2007,20,20,Championship,19,first scrap players
James Milner,3333,https://www.transfermarkt.com/james-milner/profil/spieler/3333,10/11/2002,16 years 10 months 06 days,16,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,16,first scrap players
Luka Modrić,27992,https://www.transfermarkt.com/luka-modri/profil/spieler/27992,24/07/2004,18 years 10 months 15 days,18,SuperSport HNL,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Josh Morris,121391,https://www.transfermarkt.com/josh-morris/profil/spieler/121391,27/11/2010,19 years 01 month 28 days,19,Premier League,11/1/2013,21,21,Championship,19,first scrap players
James Morrison,27614,https://www.transfermarkt.com/james-morrison/profil/spieler/27614,15/05/2004,17 years 11 months 20 days,17,Premier League,11/8/2007,21,21,Championship,17,first scrap players
Victor Moses,59866,https://www.transfermarkt.com/victor-moses/profil/spieler/59866,6/2/2010,19 years 01 month 25 days,19,Premier League,6/11/2007,16,16,Championship,16,first scrap players
Steven Mouyokolo,58188,https://www.transfermarkt.com/steven-mouyokolo/profil/spieler/58188,15/08/2009,22 years 06 months 22 days,22,Premier League,14/09/2007,20,20,Ligue 2,20,first scrap players
Fabrice Muamba,35586,https://www.transfermarkt.com/fabrice-muamba/profil/spieler/35586,12/8/2007,19 years 04 months 06 days,19,Premier League,9/8/2006,18,18,Championship,18,first scrap players
Geoffrey Mujangi Bia,45455,https://www.transfermarkt.com/geoffrey-mujangi-bia/profil/spieler/45455,17/12/2006,17 years 04 months 05 days,17,Jupiler Pro League,22/12/2012,23,23,Championship,17,first scrap players
Youssouf Mulumbu,45272,https://www.transfermarkt.com/youssouf-mulumbu/profil/spieler/45272,22/10/2006,19 years 08 months 27 days,19,Ligue 1,21/09/2007,20,20,Ligue 2,19,first scrap players
Sulley Muntari,17129,https://www.transfermarkt.com/sulley-muntari/profil/spieler/17129,6/11/2002,18 years 02 months 10 days,18,Serie A,9/3/2019,34,34,Segunda División,18,first scrap players
Danny Murphy,3221,https://www.transfermarkt.com/danny-murphy/profil/spieler/3221,9/8/1997,20 years 04 months 22 days,20,Premier League,13/02/1999,21,21,,20,first scrap players
David Murphy,3868,https://www.transfermarkt.com/david-murphy/profil/spieler/3868,19/02/2002,17 years 11 months 20 days,17,Premier League,9/8/2008,24,24,Championship,17,first scrap players
Jordon Mutch,57207,https://www.transfermarkt.com/jordon-mutch/profil/spieler/57207,22/01/2011,19 years 01 month 20 days,19,Premier League,26/01/2010,18,18,Championship,18,first scrap players
Boaz Myhill,3838,https://www.transfermarkt.com/boaz-myhill/profil/spieler/3838,16/08/2008,25 years 09 months 07 days,25,Premier League,23/11/2002,20,20,First Division (until 03/04),20,first scrap players
David N'Gog,41242,https://www.transfermarkt.com/david-ngog/profil/spieler/41242,18/11/2006,17 years 07 months 17 days,17,Ligue 1,15/09/2012,23,23,Championship,17,first scrap players
Charles N'Zogbia,22165,https://www.transfermarkt.com/charles-nzogbia/profil/spieler/22165,11/9/2004,18 years 03 months 14 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Nani,33706,https://www.transfermarkt.com/nani/profil/spieler/33706,28/08/2005,18 years 09 months 11 days,18,Liga Portugal,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Samir Nasri,18935,https://www.transfermarkt.com/samir-nasri/profil/spieler/18935,12/9/2004,17 years 02 months 17 days,17,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players
Ryan Nelsen,28878,https://www.transfermarkt.com/ryan-nelsen/profil/spieler/28878,7/4/2001,23 years 05 months 20 days,23,Major League Soccer,No second tier career,No second tier career,No second tier career,No second tier career,23,first scrap players
Gary Neville,3403,https://www.transfermarkt.com/gary-neville/profil/spieler/3403,8/5/1994,19 years 02 months 20 days,19,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players
Phil Neville,3404,https://www.transfermarkt.com/phil-neville/profil/spieler/3404,11/2/1995,18 years 21 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players
Mark Noble,31835,https://www.transfermarkt.com/mark-noble/profil/spieler/31835,13/08/2005,18 years 03 months 05 days,18,Premier League,15/01/2005,17,17,Championship,17,first scrap players
